GeneName	Expression	enhancer_count	ATAC_count	H3K27ac_count	H3K4me3_count	RE_count	GeneName_MeanExpression
OPA1	615.8333333333334	79.0	0.0	0.0	0.0	0.0	OPA1 615.8333333333334
OPA3	799.1666666666666	76.0	6.0	2.0	7.0	8.0	OPA3 799.1666666666666
OPCML	226.5	1.0	0.0	0.0	0.0	0.0	OPCML 226.5
OPTN	1838.8333333333333	22.0	7.0	2.0	3.0	7.0	OPTN 1838.8333333333333
OR10A4	0.1666666666666666	19.0	0.0	0.0	0.0	0.0	OR10A4 0.1666666666666666
OR10AD1	0.3333333333333333	1.0	2.0	1.0	1.0	1.0	OR10AD1 0.3333333333333333
OR10G3	149.83333333333334	19.0	0.0	0.0	0.0	0.0	OR10G3 149.83333333333334
OR10J1	46.833333333333336	95.0	0.0	0.0	0.0	0.0	OR10J1 46.833333333333336
OR14A2	3.8333333333333335	87.0	0.0	0.0	0.0	0.0	OR14A2 3.8333333333333335
OR14J1	522.1666666666666	34.0	0.0	0.0	0.0	0.0	OR14J1 522.1666666666666
OR1A1	389.6666666666667	72.0	0.0	0.0	0.0	0.0	OR1A1 389.6666666666667
OR1C1	0.5	1.0	0.0	0.0	0.0	0.0	OR1C1 0.5
OR1J1	0.3333333333333333	62.0	3.0	4.0	0.0	4.0	OR1J1 0.3333333333333333
OR1L6	2.6666666666666665	17.0	0.0	0.0	0.0	0.0	OR1L6 2.6666666666666665
OR1L8	3.0	2.0	0.0	0.0	0.0	0.0	OR1L8 3.0
OR2A25	18.33333333333333	43.0	0.0	0.0	0.0	0.0	OR2A25 18.33333333333333
OR2AG1	22.666666666666668	22.0	0.0	0.0	0.0	0.0	OR2AG1 22.666666666666668
OR2AG2	22.83333333333333	37.0	0.0	0.0	0.0	0.0	OR2AG2 22.83333333333333
OR2AP1	7.333333333333333	46.0	0.0	0.0	0.0	0.0	OR2AP1 7.333333333333333
OR2AT4	149.16666666666666	22.0	0.0	0.0	0.0	0.0	OR2AT4 149.16666666666666
OR2G6	87.5	1.0	0.0	0.0	0.0	0.0	OR2G6 87.5
OR2H2	4.5	15.0	2.0	0.0	0.0	2.0	OR2H2 4.5
OR2J3	2.0	18.0	0.0	0.0	0.0	0.0	OR2J3 2.0
OR2L13	7.333333333333333	1.0	0.0	0.0	0.0	0.0	OR2L13 7.333333333333333
OR2L2	97.16666666666669	1.0	0.0	0.0	0.0	0.0	OR2L2 97.16666666666669
OR2L5	1.3333333333333333	1.0	0.0	0.0	0.0	0.0	OR2L5 1.3333333333333333
OR2M3	256.0	1.0	0.0	0.0	0.0	0.0	OR2M3 256.0
OR2M4	51.66666666666666	2.0	1.0	0.0	0.0	1.0	OR2M4 51.66666666666666
OR2V1	4.833333333333333	1.0	0.0	0.0	0.0	0.0	OR2V1 4.833333333333333
OR2V2	58.66666666666666	3.0	1.0	0.0	0.0	1.0	OR2V2 58.66666666666666
OR3A3	61.5	177.0	0.0	0.0	0.0	0.0	OR3A3 61.5
OR4D1	49.5	60.0	2.0	0.0	2.0	2.0	OR4D1 49.5
OR4E2	4.333333333333333	89.0	0.0	0.0	0.0	0.0	OR4E2 4.333333333333333
OR4K2	2.333333333333333	172.0	0.0	0.0	0.0	0.0	OR4K2 2.333333333333333
OR4Q3	2.833333333333333	140.0	0.0	0.0	0.0	0.0	OR4Q3 2.833333333333333
OR51B5	25.83333333333333	18.0	0.0	0.0	0.0	0.0	OR51B5 25.83333333333333
OR51E2	40.0	36.0	0.0	0.0	0.0	0.0	OR51E2 40.0
OR51L1	17.833333333333332	60.0	0.0	0.0	0.0	0.0	OR51L1 17.833333333333332
OR52E4	18.83333333333333	1.0	0.0	0.0	0.0	0.0	OR52E4 18.83333333333333
OR52I1	115.0	73.0	0.0	0.0	0.0	0.0	OR52I1 115.0
OR52I2	0.3333333333333333	68.0	0.0	0.0	0.0	0.0	OR52I2 0.3333333333333333
OR52K1	32.833333333333336	129.0	2.0	0.0	0.0	2.0	OR52K1 32.833333333333336
OR52N1	15.333333333333334	37.0	0.0	0.0	0.0	0.0	OR52N1 15.333333333333334
OR52N4	1.1666666666666667	1.0	0.0	0.0	0.0	0.0	OR52N4 1.1666666666666667
OR56A1	38.66666666666666	13.0	2.0	0.0	0.0	2.0	OR56A1 38.66666666666666
OR56A4	95.5	116.0	1.0	0.0	0.0	1.0	OR56A4 95.5
OR5A1	105.33333333333331	38.0	0.0	0.0	0.0	0.0	OR5A1 105.33333333333331
OR5A2	109.83333333333331	73.0	2.0	0.0	0.0	2.0	OR5A2 109.83333333333331
OR5AS1	666.5	4.0	0.0	0.0	0.0	0.0	OR5AS1 666.5
OR5AU1	102.83333333333331	19.0	0.0	0.0	0.0	0.0	OR5AU1 102.83333333333331
OR5H1	5.5	1.0	0.0	0.0	0.0	0.0	OR5H1 5.5
OR5T2	0.3333333333333333	1.0	0.0	0.0	0.0	0.0	OR5T2 0.3333333333333333
OR6C4	32.5	1.0	0.0	0.0	0.0	0.0	OR6C4 32.5
OR6C75	41.333333333333336	37.0	0.0	0.0	0.0	0.0	OR6C75 41.333333333333336
OR6Y1	129.66666666666666	1.0	0.0	0.0	0.0	0.0	OR6Y1 129.66666666666666
OR7A5	4.5	39.0	0.0	0.0	0.0	0.0	OR7A5 4.5
OR7C1	170.16666666666666	1.0	0.0	0.0	0.0	0.0	OR7C1 170.16666666666666
