GeneName	Expression	enhancer_count	ATAC_count	H3K27ac_count	H3K4me3_count	RE_count	GeneName_MeanExpression
AK3	771.0	16.0	2.0	0.0	0.0	2.0	AK3 771.0
AK5	665.25	65.0	10.0	0.0	0.0	10.0	AK5 665.25
AK9	622.0	291.0	24.0	0.0	6.0	24.0	AK9 622.0
AKAP1	1117.75	118.0	8.0	1.0	4.0	8.0	AKAP1 1117.75
AKAP10	722.75	50.0	2.0	0.0	1.0	2.0	AKAP10 722.75
AKAP12	418.5	30.0	2.0	0.0	0.0	2.0	AKAP12 418.5
AKAP13	6729.75	33.0	4.0	0.0	0.0	4.0	AKAP13 6729.75
AKAP14	2.25	20.0	0.0	0.0	0.0	0.0	AKAP14 2.25
AKAP17A	606.0	53.0	3.0	2.0	2.0	5.0	AKAP17A 606.0
AKAP5	789.25	176.0	14.0	0.0	0.0	14.0	AKAP5 789.25
AKAP7	524.25	307.0	24.0	0.0	1.0	24.0	AKAP7 524.25
AKAP8	2540.75	87.0	16.0	0.0	0.0	16.0	AKAP8 2540.75
AKAP8L	602.5	177.0	21.0	0.0	2.0	21.0	AKAP8L 602.5
AKIRIN1	1812.0	26.0	3.0	0.0	3.0	3.0	AKIRIN1 1812.0
AKIRIN2	640.0	96.0	13.0	3.0	8.0	14.0	AKIRIN2 640.0
AKNA	7833.5	22.0	0.0	0.0	0.0	0.0	AKNA 7833.5
AKR1B1	1954.25	19.0	2.0	1.0	0.0	3.0	AKR1B1 1954.25
AKR1C3	6.75	167.0	12.0	0.0	0.0	12.0	AKR1C3 6.75
AKR1D1	242.75	3.0	0.0	0.0	0.0	0.0	AKR1D1 242.75
AKR1E2	56.5	14.0	6.0	0.0	0.0	6.0	AKR1E2 56.5
AKT1	1115.25	15.0	0.0	0.0	0.0	0.0	AKT1 1115.25
AKT1S1	217.0	71.0	10.0	0.0	5.0	10.0	AKT1S1 217.0
AKT2	4485.25	3.0	0.0	0.0	0.0	0.0	AKT2 4485.25
AKT3	1921.25	288.0	11.0	1.0	0.0	11.0	AKT3 1921.25
AKTIP	785.75	1549.0	141.0	20.0	33.0	146.0	AKTIP 785.75
ALAD	790.25	423.0	35.0	4.0	8.0	35.0	ALAD 790.25
ALAS1	1096.75	14.0	0.0	0.0	0.0	0.0	ALAS1 1096.75
ALCAM	527.5	41.0	0.0	0.0	0.0	0.0	ALCAM 527.5
ALDH18A1	1008.75	34.0	5.0	0.0	0.0	5.0	ALDH18A1 1008.75
ALDH1L2	159.5	36.0	0.0	0.0	0.0	0.0	ALDH1L2 159.5
ALDH3A1	5.75	66.0	10.0	0.0	0.0	10.0	ALDH3A1 5.75
ALDH3A2	763.0	706.0	38.0	0.0	4.0	38.0	ALDH3A2 763.0
ALDH4A1	62.75	447.0	38.0	0.0	3.0	38.0	ALDH4A1 62.75
ALDH7A1	1767.75	78.0	4.0	0.0	0.0	4.0	ALDH7A1 1767.75
ALDH8A1	105.75	345.0	12.0	0.0	4.0	12.0	ALDH8A1 105.75
ALDOA	3029.5	164.0	23.0	1.0	5.0	22.0	ALDOA 3029.5
ALDOB	8.25	17.0	0.0	0.0	0.0	0.0	ALDOB 8.25
ALDOC	287.25	36.0	0.0	0.0	0.0	0.0	ALDOC 287.25
ALG10	346.5	50.0	9.0	0.0	4.0	9.0	ALG10 346.5
ALG10B	713.75	48.0	4.0	0.0	0.0	4.0	ALG10B 713.75
ALG11	1456.5	209.0	25.0	1.0	11.0	26.0	ALG11 1456.5
ALG13	1401.25	29.0	1.0	0.0	0.0	1.0	ALG13 1401.25
ALG14	787.75	395.0	17.0	0.0	4.0	17.0	ALG14 787.75
