GeneName	Expression	enhancer_count	ATAC_count	H3K27ac_count	H3K4me3_count	RE_count	ATAC_ABC_count	ATAC_CHiCAGO_count	H3K27ac_ABC_count	H3K27ac_CHiCAGO_count	H3K4me3_ABC_count	H3K4me3_CHiCAGO_count	RE_ABC_count	RE_CHiCAGO_count	GeneName_MeanExpression
ACSL6	941.0	47.0	42.0	1.0	2.0	41.0	9.0	33.0	0.0	1.0	0.0	2.0	9.0	32.0	ACSL6 941.0
ACSM1	2.75	4.0	7.0	3.0	3.0	4.0	7.0	0.0	3.0	0.0	3.0	0.0	4.0	0.0	ACSM1 2.75
ACSM2A	330.75	1.0	5.0	3.0	2.0	2.0	5.0	0.0	3.0	0.0	2.0	0.0	2.0	0.0	ACSM2A 330.75
ACSM2B	80.0	1.0	5.0	3.0	2.0	2.0	5.0	0.0	3.0	0.0	2.0	0.0	2.0	0.0	ACSM2B 80.0
ACSM5	4.25	1.0	5.0	3.0	2.0	2.0	5.0	0.0	3.0	0.0	2.0	0.0	2.0	0.0	ACSM5 4.25
ACSM6	12.25	4.0	6.0	0.0	4.0	6.0	3.0	3.0	0.0	0.0	2.0	2.0	3.0	3.0	ACSM6 12.25
ACSS1	653.25	3.0	4.0	0.0	1.0	4.0	3.0	1.0	0.0	0.0	1.0	0.0	3.0	1.0	ACSS1 653.25
ACSS3	47.25	10.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	ACSS3 47.25
ACTA1	6.25	2.0	5.0	0.0	0.0	5.0	5.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	ACTA1 6.25
ACTB	55244.25	16.0	38.0	0.0	8.0	38.0	2.0	36.0	0.0	0.0	1.0	7.0	2.0	36.0	ACTB 55244.25
ACTG1	7703.5	4.0	10.0	0.0	2.0	10.0	10.0	0.0	0.0	0.0	2.0	0.0	10.0	0.0	ACTG1 7703.5
ACTG1P17	104.25	2.0	4.0	1.0	1.0	3.0	4.0	0.0	1.0	0.0	1.0	0.0	3.0	0.0	ACTG1P17 104.25
ACTG2	216.75	3.0	8.0	0.0	0.0	8.0	8.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	ACTG2 216.75
ACTL10	26.25	1.0	2.0	0.0	1.0	2.0	2.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	ACTL10 26.25
ACTN1	2541.0	4.0	8.0	10.0	1.0	14.0	8.0	0.0	10.0	0.0	1.0	0.0	14.0	0.0	ACTN1 2541.0
ACTN4	10785.25	2.0	4.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	ACTN4 10785.25
ACTR6	287.5	20.0	15.0	1.0	2.0	16.0	0.0	15.0	0.0	1.0	0.0	2.0	0.0	16.0	ACTR6 287.5
ACVR1C	243.5	11.0	26.0	10.0	4.0	30.0	5.0	21.0	5.0	5.0	2.0	2.0	6.0	24.0	ACVR1C 243.5
ACVR2A	391.75	3.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	ACVR2A 391.75
ACVRL1	22.5	1.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	ACVRL1 22.5
ACY1	600.0	1.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	ACY1 600.0
ACY3	3.0	2.0	4.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	ACY3 3.0
ADA	193.75	6.0	36.0	3.0	2.0	34.0	36.0	0.0	3.0	0.0	2.0	0.0	34.0	0.0	ADA 193.75
ADA2	1877.0	1.0	3.0	0.0	1.0	3.0	3.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	ADA2 1877.0
ADAD1	15.5	3.0	6.0	0.0	0.0	6.0	6.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	ADAD1 15.5
ADAD2	15.0	2.0	4.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	ADAD2 15.0
ADAM10	14055.0	1.0	4.0	0.0	1.0	4.0	4.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0	ADAM10 14055.0
ADAM11	4.75	6.0	12.0	5.0	5.0	14.0	12.0	0.0	5.0	0.0	5.0	0.0	14.0	0.0	ADAM11 4.75
ADAM15	389.5	4.0	12.0	0.0	4.0	12.0	12.0	0.0	0.0	0.0	4.0	0.0	12.0	0.0	ADAM15 389.5
ADAM19	2433.5	3.0	10.0	0.0	0.0	10.0	10.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	ADAM19 2433.5
ADAM20	12.5	1.0	3.0	2.0	0.0	3.0	3.0	0.0	2.0	0.0	0.0	0.0	3.0	0.0	ADAM20 12.5
ADAM20P1	10.5	2.0	3.0	2.0	0.0	3.0	3.0	0.0	2.0	0.0	0.0	0.0	3.0	0.0	ADAM20P1 10.5
ADAM22	282.0	2.0	3.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	ADAM22 282.0
ADAM23	92.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	ADAM23 92.0
ADAM29	99.75	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ADAM29 99.75
ADAM32	850.25	2.0	4.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	ADAM32 850.25
ADAM33	7.0	2.0	4.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	ADAM33 7.0
ADAM3A	36.25	1.0	4.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	ADAM3A 36.25
ADAM8	500.0	3.0	6.0	0.0	2.0	6.0	6.0	0.0	0.0	0.0	2.0	0.0	6.0	0.0	ADAM8 500.0
