GeneName	Expression	enhancer_count	ATAC_count	H3K27ac_count	H3K4me3_count	RE_count	ATAC_ABC_count	ATAC_CHiCAGO_count	H3K27ac_ABC_count	H3K27ac_CHiCAGO_count	H3K4me3_ABC_count	H3K4me3_CHiCAGO_count	RE_ABC_count	RE_CHiCAGO_count	GeneName_MeanExpression
POLR2I	749.1666666666666	2.0	2.0	0.0	1.0	2.0	2.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	POLR2I 749.1666666666666
POM121	767.8333333333334	3.0	4.0	0.0	2.0	4.0	4.0	0.0	0.0	0.0	2.0	0.0	4.0	0.0	POM121 767.8333333333334
POM121L1P	4.333333333333333	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	POM121L1P 4.333333333333333
POM121L9P	15.5	3.0	4.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	POM121L9P 15.5
POMC	40.5	2.0	4.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	POMC 40.5
POMP	1689.6666666666667	1.0	1.0	3.0	2.0	2.0	1.0	0.0	3.0	0.0	2.0	0.0	2.0	0.0	POMP 1689.6666666666667
POMT1	576.5	9.0	7.0	0.0	1.0	7.0	3.0	4.0	0.0	0.0	1.0	0.0	3.0	4.0	POMT1 576.5
PON1	5.333333333333333	2.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	PON1 5.333333333333333
PON3	34.666666666666664	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PON3 34.666666666666664
POP5	1217.6666666666667	2.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	POP5 1217.6666666666667
POPDC2	216.5	3.0	4.0	1.0	0.0	4.0	4.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	POPDC2 216.5
POR	516.6666666666666	6.0	3.0	1.0	0.0	3.0	1.0	2.0	1.0	0.0	0.0	0.0	1.0	2.0	POR 516.6666666666666
