H3K4me3_count	Gene_Name	Mean_Gene_Expression
0	C9orf152	2.25
0	C9orf24	34.5
0	CA1	43.75
0	CA3	0.25
0	CA5A	0.5
0	CA6	455.25
0	CA8	15.25
0	CAB39	4209.5
0	CAB39L	48.5
0	CABIN1	1982.25
0	CABLES1	103.75
0	CACFD1	82.75
0	CACHD1	129.25
0	CACNA1A	1999.75
0	CACNA1H	52.0
0	CACNA2D4	94.5
0	CACNB2	419.75
0	CACNB4	321.75
0	CACUL1	1843.5
0	CADPS	319.0
0	CALCOCO2	2639.75
0	CALCRL	275.0
0	CALN1	79.75
0	CALU	1455.0
0	CAMK1G	3.75
0	CAMK2B	4.5
0	CAMK2D	4417.25
0	CAMK2G	1531.5
0	CAMK4	7156.25
0	CAMSAP2	217.0
0	CAMTA1	256.75
0	CAP2	2.0
0	CAPN14	15.25
0	CAPN2	2451.75
0	CAPN3	215.5
0	CAPN7	889.75
0	CAPN8	6.0
0	CAPS	744.5
0	CAPS2	188.25
0	CAPSL	1.5
0	CARD11	1330.25
0	CARD18	63.0
0	CARD8	2802.25
0	CASK	2992.75
0	CASP8AP2	781.75
0	CASP9	169.75
0	CAST	2831.25
0	CATSPERB	281.75
0	CAV1	1.5
0	CAV3	4.25
0	CBFB	8301.0
0	CBL	5055.75
0	CBLB	2504.5
0	CBLL1	3804.25
0	CBX1	4638.0
0	CBX2	45.75
0	CBX8	13.75
0	CC2D1B	1667.0
0	CC2D2B	52.75
0	CCAR1	5668.0
0	CCDC106	19.25
0	CCDC112	42.25
0	CCDC113	125.75
0	CCDC117	1924.25
0	CCDC120	419.0
0	CCDC124	230.5
0	CCDC130	578.5
0	CCDC134	61.5
0	CCDC136	175.0
0	CCDC138	258.25
0	CCDC14	1734.25
0	CCDC141	821.25
0	CCDC146	82.0
0	CCDC150	458.25
0	CCDC158	311.0
0	CCDC159	310.25
0	CCDC172	3.25
0	CCDC175	0.5
0	CCDC18	165.0
0	CCDC180	857.0
0	CCDC181	13.0
0	CCDC183	86.0
0	CCDC192	9.5
0	CCDC28B	236.0
0	CCDC33	0.25
0	CCDC65	81.5
0	CCDC68	0.5
0	CCDC73	1.25
0	CCDC81	222.75
0	CCDC83	12.0
0	CCDC85C	1027.75
0	CCDC86	2705.5
0	CCDC88A	2378.25
0	CCDC92	1044.5
0	CCDC97	1144.75
0	CCHCR1	120.75
0	CCL15	14.75
0	CCL16	479.5
0	CCL2	4.5
0	CCL3	4627.0
0	CCL3L3	380.75
0	CCL4	4073.5
0	CCL4L2	425.0
0	CCL5	8313.5
0	CCNB3	20.25
0	CCND1	275.0
0	CCND3	6089.25
0	CCNE2	102.0
0	CCNJL	345.25
0	CCNYL1	1029.75
0	CCR1	52.25
0	CCR2	95.75
0	CCR3	47.75
0	CCR4	3127.0
0	CCR5	391.0
0	CCR6	298.5
0	CCR7	5360.75
0	CCR8	42.5
0	CCRL2	40.0
0	CCSAP	393.25
0	CCT3	4821.5
0	CCT7	3640.0
0	CD109	894.75
0	CD160	214.0
0	CD163	303.25
0	CD180	69.5
0	CD1C	6.25
0	CD200	1146.75
0	CD200R1	368.75
0	CD22	655.75
0	CD226	4638.0
0	CD244	100.25
0	CD274	1564.5
0	CD276	52.0
0	CD300E	64.5
0	CD300LB	4.75
0	CD300LD	39.25
0	CD300LF	7.5
0	CD320	608.25
0	CD34	166.25
0	CD36	172.75
0	CD52	1138.75
0	CD55	5221.5
0	CD72	83.25
0	CD79B	32.5
0	CD80	48.5
0	CD82	942.0
0	CD86	16.25
0	CD8A	29.75
0	CD9	4.5
0	CD93	85.5
0	CD96	3771.75
0	CD99	1515.25
0	CD99L2	213.0
0	CDC123	3374.5
0	CDC20B	182.5
0	CDC25C	5.25
0	CDC27	1075.25
0	CDC37	4620.25
0	CDC42BPA	50.0
0	CDC42BPG	176.5
0	CDC42EP1	28.0
0	CDC42EP3	960.75
0	CDC42SE2	7620.25
0	CDC6	3505.25
0	CDC7	564.25
0	CDC73	2902.5
0	CDCA4	446.75
0	CDCA7	810.0
0	CDCA7L	1410.25
0	CDH10	23.75
0	CDH11	3.5
0	CDH13	71.75
0	CDH16	2.5
0	CDH18	207.25
0	CDH24	22.75
0	CDH4	7.0
0	CDH6	103.75
0	CDH8	128.25
0	CDH9	26.0
0	CDHR1	13.0
0	CDHR4	113.5
0	CDK1	104.75
0	CDK12	3888.5
0	CDK13	3808.25
0	CDK14	61.25
0	CDK16	1558.75
0	CDK20	79.0
0	CDK5	101.0
0	CDK5RAP2	1464.25
0	CDKL1	330.75
0	CDKN1A	921.25
0	CDKN2D	781.25
0	CDON	313.5
0	CDPF1	94.5
0	CDRT4	92.0
0	CDYL	807.5
0	CEACAM1	552.75
0	CEACAM21	254.0
0	CEACAM3	1.5
0	CEACAM6	2.5
0	CEBPD	21.0
0	CEBPE	2.75
0	CECR2	155.0
0	CELA2A	100.5
0	CELA2B	2.0
0	CELF2	8059.0
0	CELF4	32.5
0	CELSR2	152.0
0	CEMIP	226.0
0	CENPBD1	440.25
0	CENPF	327.5
0	CENPK	738.75
0	CENPP	367.5
0	CENPT	666.0
0	CENPV	571.75
0	CENPW	50.0
