ATAC_count	Gene_Name	Mean_Gene_Expression
0	FBXL20	3640.5
0	FBXL4	495.75
0	FCER1A	36.5
0	FCER2	113.75
0	FCRL1	142.75
0	FCRL3	450.0
0	FCRL5	61.5
0	FDPS	1369.5
0	FERMT1	5.5
0	FEZ2	522.5
0	FFAR4	82.0
0	FGF14	1.25
0	FGFR2	64.75
0	FGFR4	25.5
0	FGL2	268.5
0	FHDC1	59.25
0	FHOD3	15.75
0	FKBPL	15.25
0	FKTN	518.0
0	FLVCR2	121.75
0	FMO3	38.75
0	FMO4	41.25
0	FN1	494.75
0	FNBP4	2907.0
0	FNDC3A	2348.5
0	FNTA	1189.75
0	FOXM1	200.5
0	FOXP2	33.5
0	FRMD5	223.75
0	FRMD6	142.75
0	FRMPD1	95.5
0	FRMPD2	30.5
0	FSIP1	1.75
0	FSTL1	56.0
0	FUNDC1	39.75
0	FUT6	136.0
0	FUT9	94.75
0	GAB1	445.75
0	GABARAPL1	590.5
0	GABPB1	881.5
0	GABPB2	6962.75
0	GABRA1	8.5
0	GABRA2	2.0
0	GABRA4	9.25
0	GABRB3	341.25
0	GABRG2	2391.5
0	GABRP	624.0
0	GADD45A	321.25
0	GAGE10	2.75
0	GAL3ST1	11.5
0	GALK1	82.75
0	GALNT11	761.25
0	GALNT13	7.5
0	GALNT3	66.0
0	GALNT6	412.0
0	GALNT8	22.5
0	GALNT9	94.75
0	GANC	809.5
0	GAREM1	24.25
0	GAS7	107.25
0	GBE1	292.0
0	GCFC2	545.0
0	GCK	26.5
0	GCKR	16.25
0	GCSAML	96.75
0	GCSH	235.0
0	GDA	491.25
0	GDF15	4.0
0	GDNF	27.5
0	GDPD4	26.25
0	GEM	97.25
0	GFAP	245.75
0	GFRA1	23.25
0	GFRAL	78.0
0	GGNBP2	2462.75
0	GGT1	304.25
0	GHITM	1735.0
0	GIGYF2	3633.5
0	GIT2	2461.25
0	GJA1	12.0
0	GJB6	31.5
0	GJD4	26.0
0	GLDN	11.75
0	GLI3	1.5
0	GLIS3	90.75
0	GLRA3	194.0
0	GLT8D2	13.5
0	GLYATL1	3.5
0	GLYATL2	19.25
0	GNAL	163.0
0	GNAS	12148.0
0	GNG12	0.75
0	GNL3	3666.5
0	GNRH1	22.0
0	GNRH2	5.5
0	GOLGA3	5984.25
0	GOLGA4	2841.0
0	GOLGA7	1586.25
0	GOLIM4	206.25
0	GOLM1	374.25
0	GP2	237.75
0	GPATCH3	157.25
0	GPC3	10.25
0	GPD1	12.75
0	GPD1L	426.25
0	GPHN	635.25
0	GPLD1	66.0
0	GPM6A	73.25
0	GPM6B	227.5
0	GPR1	59.25
0	GPR119	2.75
0	GPR151	13.0
0	GPR160	160.5
0	GPR161	208.5
0	GPR52	42.75
0	GPR55	252.25
0	GPR82	1171.5
0	GPR83	49.5
0	GPR85	376.5
0	GPR87	23.25
0	GPRC5A	222.75
0	GPX3	242.25
0	GRB7	2.25
0	GREB1	235.75
0	GREB1L	116.5
0	GRHL2	20.0
0	GRIA1	0.75
0	GRIK2	416.0
0	GRIK5	15.0
0	GRIN2B	13.0
0	GRIP1	523.75
0	GRIPAP1	1335.75
0	GRM3	2.75
0	GSDMC	68.5
0	GSPT1	3855.0
0	GSTM5	7.0
0	GTF2A2	398.75
0	GTF2F1	1849.0
0	GTF2H4	90.0
0	GTPBP2	800.75
0	GTSF1	190.75
0	GUCD1	692.25
0	GULP1	233.5
0	GYG2	1.5
0	HAS3	72.75
0	HAVCR2	349.75
0	HBG2	4.75
0	HDAC9	106.0
0	HECW1	135.75
0	HECW2	216.0
0	HELLS	2538.25
0	HELZ	3678.5
0	HEPHL1	1.5
0	HESX1	10.5
0	HGD	28.5
0	HHEX	18.0
0	HHIP	99.25
0	HHIPL2	5.5
0	HHLA1	1012.0
0	HIBCH	370.0
0	HIGD1C	0.5
0	HJURP	253.25
0	HK3	17.0
0	HLA-C	15653.5
0	HMCN1	22.0
0	HMGB3	163.5
0	HNF4G	9.5
0	HNMT	86.25
0	HNRNPA1L2	585.75
0	HNRNPCL1	0.75
0	HNRNPLL	1275.25
0	HOGA1	241.75
0	HOMER1	443.25
0	HOMER3	247.5
0	HOOK3	5126.75
0	HOPX	408.75
