RE_count	Gene_Name	Mean_Gene_Expression
0	DCBLD2	176.16666666666666
0	DCLK1	25.666666666666668
0	DCLK2	27.33333333333333
0	DCLRE1C	1185.1666666666667
0	DCP1A	4977.0
0	DCP1B	479.0
0	DCT	0.8333333333333334
0	DDRGK1	195.5
0	DDX3X	9330.833333333334
0	DDX60	589.1666666666666
0	DDX60L	804.6666666666666
0	DENND1A	214.16666666666663
0	DENND1B	868.8333333333334
0	DENND6A	443.8333333333333
0	DEPDC4	58.833333333333336
0	DGCR8	257.0
0	DGKE	309.0
0	DHDDS	1479.8333333333333
0	DHRS4	409.3333333333333
0	DHX15	2609.833333333333
0	DHX35	604.3333333333334
0	DHX36	1209.3333333333333
0	DHX40	486.8333333333333
0	DHX57	618.6666666666666
0	DICER1	750.0
0	DIO1	9.0
0	DIS3L	790.3333333333334
0	DKC1	1487.5
0	DLC1	5.666666666666667
0	DNA2	41.0
0	DNAH3	28.0
0	DNAJA2	1802.6666666666667
0	DNAJB1	14807.833333333334
0	DNAJC10	2117.333333333333
0	DNAJC11	472.0
0	DNAJC3	5602.166666666667
0	DOCK11	1083.1666666666667
0	DOCK7	541.1666666666666
0	DPH7	123.33333333333331
0	DPP6	13.5
0	DPY19L2	151.66666666666666
0	DPYD	736.6666666666666
0	DTD2	322.5
0	DTNB	94.5
0	DTNBP1	524.8333333333334
0	DUSP11	1706.3333333333333
0	DVL2	116.33333333333331
0	DYNC1I1	13.5
0	E2F8	14.166666666666666
0	EEF2	26660.5
0	EFCAB1	0.3333333333333333
0	EFCAB2	248.66666666666663
0	EFCAB3	97.5
0	EFCAB8	595.1666666666666
0	EFR3A	528.1666666666666
0	EFR3B	246.5
0	EIF2S3	14894.166666666666
0	EIF3A	4810.666666666667
0	EIF3D	4349.166666666667
0	EIF5A2	994.0
0	ELOVL7	32.5
0	ELP4	700.6666666666666
0	EML1	124.5
0	ENPP2	10.333333333333334
0	ENPP5	56.333333333333336
0	ENTPD3	10.166666666666666
0	EPB41L3	55.66666666666666
0	EPS8L3	6.5
0	ERCC6	756.0
0	ERICH1	1404.1666666666667
0	ERRFI1	2.1666666666666665
0	ESD	2620.1666666666665
0	ESM1	0.1666666666666666
0	ETAA1	134.66666666666666
0	ETS2	39.0
0	EXOC1	886.1666666666666
0	FABP5	454.6666666666667
0	FAH	393.6666666666667
0	FAM110B	5.833333333333333
0	FAM122C	328.0
0	FAM160A1	3.5
0	FAM160B1	528.3333333333334
0	FAM186A	18.83333333333333
0	FAM218A	39.5
0	FAM222B	445.1666666666667
0	FAM53A	2.5
0	FANCF	452.3333333333333
0	FAT1	27.33333333333333
0	FBXL12	742.5
0	FBXL19	2.0
0	FBXL4	650.5
0	FBXO28	243.33333333333331
0	FBXW4	912.6666666666666
0	FCER1A	1.5
0	FCHSD2	619.1666666666666
0	FGFR1	158.66666666666666
0	FKRP	153.0
0	FKTN	117.0
0	FLVCR1	592.0
0	FMO3	167.16666666666666
0	FMO4	206.33333333333331
0	FNDC4	60.333333333333336
0	FNTA	1128.3333333333333
0	FOXH1	2.333333333333333
0	FOXJ3	661.0
0	FOXM1	132.83333333333334
0	FPR3	2.1666666666666665
0	FRMD6	5.833333333333333
0	FRMD7	0.3333333333333333
0	FRS2	214.83333333333331
0	FUNDC1	512.0
0	FUT11	531.5
0	GAL3ST4	11.5
0	GAREM1	9.333333333333334
0	GAS8	174.16666666666666
0	GBA2	609.1666666666666
0	GCKR	8.0
0	GDA	91.16666666666669
0	GDPD1	109.33333333333331
0	GGACT	26.166666666666668
0	GHITM	4831.333333333333
0	GLIPR1L1	11.166666666666666
0	GLOD4	2037.3333333333333
0	GLRA2	0.6666666666666666
0	GLYAT	0.1666666666666666
0	GLYR1	1941.5
0	GMDS	69.5
0	GMEB2	52.66666666666666
0	GNB4	368.8333333333333
0	GNB5	1378.0
0	GNE	717.5
0	GNL3	1604.0
0	GPATCH3	357.6666666666667
0	GPHN	152.66666666666666
0	GPM6B	63.0
0	GPN3	381.6666666666667
0	GPR151	0.1666666666666666
0	GPR52	0.1666666666666666
0	GPR82	2973.6666666666665
0	GPRC5A	104.66666666666669
0	GRM1	12.5
0	GSKIP	1108.1666666666667
0	GSPT1	852.3333333333334
0	GSTCD	271.5
0	GSTM3	267.1666666666667
0	GSTZ1	744.6666666666666
0	GTDC1	813.1666666666666
0	GTF2A2	1773.3333333333333
0	GTF3C1	937.3333333333334
0	GUCY1B2	1.5
0	GXYLT2	49.833333333333336
0	GYG2	7.333333333333333
0	HBB	28.83333333333333
0	HBG1	0.5
0	HDAC2	1360.8333333333333
0	HDDC3	704.3333333333334
0	HDHD3	242.16666666666663
0	HEATR3	218.5
0	HECW2	174.33333333333334
0	HELLS	576.8333333333334
0	HHIP	30.0
0	HIGD1C	1.5
0	HLA-DQA2	16.333333333333332
0	HLA-G	14.333333333333334
0	HLA-J	18.666666666666668
0	HOOK3	1869.6666666666667
0	HORMAD2	31.0
0	HPS6	56.833333333333336
0	HRH1	24.0
0	HRNR	2.6666666666666665
0	HSPB11	1093.0
0	HYOU1	1333.1666666666667
0	ICE1	402.6666666666667
