H3K4me3_count	Gene_Name	Mean_Gene_Expression
0	DOCK6	114.75
0	DOCK8	5536.5
0	DOK6	643.25
0	DOK7	8.5
0	DOLPP1	169.5
0	DPEP2	938.5
0	DPF3	22.0
0	DPM2	834.5
0	DPRX	3.0
0	DPY19L1	287.5
0	DPY19L2	71.0
0	DPY30	378.0
0	DPYSL4	54.5
0	DPYSL5	90.0
0	DRD4	3.0
0	DRICH1	20.25
0	DRP2	6.0
0	DSC1	64.0
0	DSC2	218.25
0	DSCAML1	3.0
0	DSN1	272.25
0	DSTN	405.75
0	DTD1	1409.5
0	DTHD1	63.75
0	DTNA	168.75
0	DUS3L	513.0
0	DUSP22	574.25
0	DUSP28	751.5
0	DUSP4	2892.75
0	DUSP9	5.25
0	DUT	496.75
0	DUXA	18.0
0	DVL1	270.75
0	DVL3	1144.75
0	DYDC2	63.75
0	DYNAP	81.5
0	DYNC1I1	22.75
0	DYNLT3	554.25
0	DZIP1	35.75
0	E2F1	459.25
0	E2F2	277.25
0	E2F7	53.0
0	EBF1	1.0
0	EBF2	66.25
0	EBF4	12.5
0	EBLN2	991.25
0	ECE1	2962.75
0	ECHDC2	2270.75
0	ECI1	113.0
0	ECT2L	12.5
0	EDA2R	5.25
0	EDARADD	108.0
0	EDC3	960.5
0	EDEM2	198.0
0	EDEM3	1530.5
0	EDF1	1314.5
0	EDN3	11.5
0	EDNRB	5.25
0	EEA1	913.5
0	EEF1A2	37.0
0	EFCAB1	3.5
0	EFHB	137.25
0	EFHC2	18.25
0	EFNA5	29.75
