H3K4me3_count	Gene_Name	Mean_Gene_Expression
0	CD99P1	766.75
0	CDC20B	182.5
0	CDC37	4620.25
0	CDC42	6510.0
0	CDC42BPG	176.5
0	CDC42P3	1.75
0	CDCA7L	1410.25
0	CDCP1	248.5
0	CDH1	183.5
0	CDH10	23.75
0	CDH13	71.75
0	CDH15	38.5
0	CDH16	2.5
0	CDH19	1.0
0	CDH24	22.75
0	CDH3	174.5
0	CDH4	7.0
0	CDH6	103.75
0	CDH8	128.25
0	CDH9	26.0
0	CDHR1	13.0
0	CDHR4	113.5
0	CDK11A	1198.0
0	CDK12	3888.5
0	CDK14	61.25
0	CDK5RAP2	1464.25
0	CDKN1C	1.5
0	CDRT15L2	3.5
0	CDRT15P1	30.5
0	CDT1	550.5
0	CDYL2	479.5
0	CEACAM1	552.75
0	CEACAM6	2.5
0	CEBPD	21.0
0	CEL	7.25
0	CELA1	3.5
0	CELA3B	22.5
0	CELF2	8059.0
0	CELF4	32.5
0	CELP	147.75
0	CELSR2	152.0
0	CEMIP	226.0
0	CEND1	5.0
0	CENPA	8.5
0	CENPBD1P1	270.75
0	CEP112	1104.0
0	CEP126	503.0
0	CEP128	1390.5
0	CEP170P1	33.5
0	CEP250	1690.25
0	CEP295	1469.25
0	CEP295NL	8.0
0	CEP97	1368.0
0	CERCAM	1025.0
0	CERK	1655.25
0	CERS2	3628.5
0	CERS4	287.0
0	CETP	141.75
0	CFAP157	107.5
0	CFAP206	25.25
0	CFAP45	44.75
0	CFAP46	5.25
0	CFAP53	20.5
0	CFAP69	713.75
0	CFAP74	506.25
0	CFAP77	2.5
0	CFP	502.0
0	CFTR	18.25
0	CGREF1	72.75
0	CGRRF1	102.25
0	CH25H	4.0
0	CHAT	4.25
0	CHCHD10	541.5
0	CHCHD2	1483.0
0	CHD5	18.5
0	CHEK2	1107.75
0	CHGB	378.5
0	CHIAP2	4.25
0	CHIC1	582.75
0	CHIC2	266.0
0	CHID1	1086.5
0	CHKA	263.0
0	CHML	1261.75
0	CHMP1B	1431.0
0	CHMP6	104.25
0	CHN1	83.25
0	CHN2	140.75
0	CHODL	16.0
0	CHRD	62.0
0	CHRDL1	20.0
0	CHRFAM7A	13.75
0	CHRM2	29.75
0	CHRM3	34.75
0	CHRM5	82.5
0	CHRNA1	11.0
0	CHRNA3	16.0
0	CHRNA6	26.25
0	CHRNA7	489.0
0	CHRNB3	1.75
0	CHRND	12.75
0	CHRNE	16.5
0	CHST1	1.75
0	CHST10	202.5
0	CHST12	2174.75
0	CHST15	17.75
0	CHST3	25.0
0	CHSY1	3684.75
0	CIB2	21.5
0	CIRBP	3274.0
0	CIT	385.0
0	CKAP4	301.75
0	CKS1B	334.0
0	CLCC1	2807.0
0	CLCN5	315.0
0	CLDN11	187.5
0	CLDN12	116.25
0	CLDN14	3.0
0	CLDN16	52.5
0	CLDN18	30.5
0	CLDN19	13.75
0	CLDN2	19.75
0	CLDN20	83.75
0	CLDN4	68.75
0	CLDND1	8477.5
0	CLEC16A	1374.0
0	CLEC17A	18.75
0	CLEC18B	2.0
0	CLEC1A	45.75
0	CLEC3B	6.25
0	CLEC4E	96.25
0	CLIC5	336.0
0	CLIC6	8.5
0	CLINT1	5665.5
0	CLIP1	9147.0
0	CLIP3	90.75
0	CLK2	1622.25
0	CLMN	348.5
0	CLMP	104.5
0	CLN6	2626.0
0	CLN8	839.25
0	CLNK	195.75
0	CLPB	3399.25
0	CLRN1	3.75
0	CLSPN	648.75
0	CLSTN1	1937.5
0	CLTA	1268.75
0	CLTB	314.25
0	CLU	139.25
0	CLUL1	58.5
0	CLVS1	93.0
0	CMKLR1	9.5
0	CMPK2	130.0
0	CMTM4	102.75
0	CMYA5	6.75
0	CNGA1	70.5
0	CNGB3	3.75
0	CNIH3	69.0
0	CNKSR1	66.5
0	CNKSR2	1563.25
0	CNN1	92.5
0	CNOT4	2659.5
0	CNPY1	105.5
0	CNR2	550.5
0	CNTD2	17.5
0	CNTF	90.5
0	CNTN1	37.0
0	COA6	317.5
