H3K27ac_count	Gene_Name	Mean_Gene_Expression
0	CDPF1	94.5
0	CDR2L	2.75
0	CDRT4	92.0
0	CDYL	807.5
0	CEACAM1	552.75
0	CEACAM21	254.0
0	CEACAM3	1.5
0	CEACAM6	2.5
0	CEBPD	21.0
0	CEBPE	2.75
0	CECR2	155.0
0	CELA1	3.5
0	CELA2A	100.5
0	CELA2B	2.0
0	CELF2	8059.0
0	CELF4	32.5
0	CELSR2	152.0
0	CEMIP	226.0
0	CENPBD1	440.25
0	CENPC	1184.75
0	CENPF	327.5
0	CENPH	593.5
0	CENPI	202.75
0	CENPK	738.75
0	CENPM	195.25
0	CENPP	367.5
0	CENPT	666.0
0	CENPV	571.75
0	CENPW	50.0
0	CEP112	1104.0
0	CEP120	2785.5
0	CEP126	503.0
0	CEP152	1166.5
0	CEP170B	127.0
0	CEP250	1690.25
0	CEP350	2346.0
0	CEP44	546.5
0	CEP57	1021.0
0	CEP63	1176.5
0	CEP68	1046.0
0	CEP70	108.75
0	CEP76	608.0
0	CEP85	650.5
0	CES3	226.0
0	CETP	141.75
0	CFAP20	758.75
0	CFAP206	25.25
0	CFAP221	405.25
0	CFAP43	1.75
0	CFAP44	284.25
0	CFAP45	44.75
0	CFAP54	1402.25
0	CFAP69	713.75
0	CFAP70	118.0
0	CFAP73	8.0
0	CFAP77	2.5
0	CFB	136.0
0	CFD	26.25
0	CFDP1	1437.5
0	CFH	35.75
0	CFL2	783.25
0	CFP	502.0
0	CFTR	18.25
0	CGA	7.25
0	CGN	28.0
0	CGREF1	72.75
0	CGRRF1	102.25
0	CH25H	4.0
0	CHAF1A	1053.25
0	CHAF1B	1388.25
0	CHAMP1	499.25
0	CHAT	4.25
0	CHCHD1	120.25
0	CHCHD2	1483.0
0	CHCHD3	592.75
0	CHCHD6	64.75
0	CHD1	1738.0
0	CHD4	8100.0
0	CHD6	2711.25
0	CHD8	4085.25
0	CHD9	631.25
0	CHDH	194.75
0	CHEK2	1107.75
0	CHERP	1762.5
0	CHI3L2	121.75
0	CHIC2	266.0
0	CHID1	1086.5
0	CHIT1	24.75
0	CHMP1B	1431.0
0	CHMP3	868.0
0	CHN1	83.25
0	CHN2	140.75
0	CHODL	16.0
0	CHORDC1	9541.25
0	CHST10	202.5
0	CHST11	2341.0
0	CHST15	17.75
0	CHST2	110.0
0	CHST4	10.75
0	CHST9	41.0
0	CHTOP	4719.75
0	CHUK	533.25
0	CIAPIN1	661.0
0	CIART	195.5
0	CIB2	21.5
0	CIB3	0.75
0	CIC	1601.5
0	CIDEB	1069.0
0	CIDEC	0.5
