H3K27ac_count	Gene_Name	Mean_Gene_Expression
0	LRIG1	1165.25
0	LRIG2	1688.0
0	LRIT3	20.25
0	LRP10	3291.75
0	LRP4	6.0
0	LRRC2	546.5
0	LRRC47	815.75
0	LRRC58	4580.25
0	LRRC66	3.25
0	LRRC8C	4490.0
0	LRRK1	5410.5
0	LRRN4CL	110.25
0	LSM10	174.75
0	LSM14A	6732.0
0	LSM8	395.25
0	LST1	106.75
0	LTA	14565.5
0	LTA4H	2188.75
0	LTB	2502.75
0	LTBP2	59.25
0	LTC4S	2.25
0	LTV1	2589.0
0	LUC7L3	2716.0
0	LUZP1	745.25
0	LXN	70.5
0	LY6G5C	170.5
0	LY9	1414.5
0	LYL1	258.5
0	LYPLA1	1476.5
0	LYSMD4	249.25
0	LYVE1	2.0
0	LYZ	3409.75
0	MAEA	974.75
0	MAGEF1	202.25
0	MAGT1	1444.75
0	MALT1	701.75
0	MAN1B1	601.75
0	MAN2A1	1248.75
0	MAP1LC3C	34.75
0	MAP2K5	740.25
0	MAP3K7	1349.75
0	MAPK1	5844.5
0	MAPK13	2397.75
0	MAPK14	1523.25
0	MAPK1IP1L	7945.75
0	MAPK8	1067.75
0	MAPKBP1	694.0
0	MAPRE2	3238.25
0	MARK2	2195.75
0	MARS2	1013.25
0	MASTL	744.0
0	MAT2A	7030.0
0	MATN1	52.25
0	MATN3	3.25
0	MAU2	2545.25
0	MB21D2	86.5
0	MBIP	811.5
0	MBNL1	18603.0
0	MBNL2	686.0
0	MBNL3	530.0
0	MBTPS1	2890.0
0	MCAM	76.75
0	MCCC1	917.5
0	MCTP1	107.5
0	MECP2	1489.5
0	MED11	249.75
0	MED30	289.25
0	MED6	1219.0
0	MEF2A	1370.5
0	MEIS3	20.0
0	MEST	253.0
0	METAP1	2524.25
0	METTL9	976.5
0	MEX3A	21.0
0	MFAP3L	121.0
0	MFAP5	145.5
0	MGP	759.0
0	MGST3	591.75
0	MIA	0.75
0	MIB1	1397.25
0	MICAL2	1707.0
0	MICAL3	2286.75
0	MICB	597.25
0	MINK1	715.25
0	MIP	6.25
0	MIS18BP1	744.25
0	MKKS	163.25
0	MKLN1	2482.75
