ATAC_count	Gene_Name	Mean_Gene_Expression
0	MYO3B	84.25
0	MYO6	106.5
0	NANOS1	219.5
0	NAPEPLD	440.0
0	NCF1	51.25
0	NEK4	1064.5
0	NHLRC1	25.0
0	NHS	200.0
0	NOL10	1611.25
0	NPB	40.75
0	NPFFR2	89.0
0	NPNT	2.0
0	NRG3	26.25
0	NSUN4	1426.5
0	NTRK2	44.75
0	NUDT1	410.75
0	NYNRIN	3.5
0	OAF	129.75
0	OGDHL	5.0
0	OGFRL1	940.5
0	OLFML1	130.5
0	OPN1SW	20.75
0	OPRK1	16.0
0	OR10G4	101.5
0	OR11G2	33.75
0	OR1J2	2.5
0	OR1J4	3.0
0	OR4K17	230.5
0	OR4K2	11.25
0	OR4P4	63.25
0	OR51M1	1323.25
0	OR5AS1	1647.25
0	OR6C6	53.25
0	OR6K3	174.5
0	OR7E156P	12.0
0	OR7E47P	3.5
0	OR8H1	118.5
0	OR8H2	24.0
0	OSMR	277.25
0	OTOG	6.0
0	P2RY1	28.75
0	PABPC1L2A	6.5
0	PABPC3	13.25
0	PAK4	502.25
0	PAK6	95.25
0	PAPPA	51.0
0	PAPSS1	319.75
0	PAPSS2	31.0
0	PARD6G	323.75
0	PATE2	96.0
0	PAWR	1019.5
0	PBX1	386.5
0	PBX3	578.0
0	PCDH10	10.25
0	PCDH11X	221.0
0	PCLO	2.0
0	PDE10A	19.0
0	PDE1C	2.75
0	PDE3A	10.25
0	PDZD2	268.25
0	PEX5L	164.0
0	PFDN4	61.0
0	PFKFB1	25.0
0	PGM5	45.75
0	PGM5P2	864.25
0	PHF11	934.25
0	PI4KAP2	1598.0
0	PID1	2.5
0	PIGQ	283.0
0	PIP5K1P1	8.75
0	PKNOX2	9.0
0	PLA2G7	974.0
0	PLAGL2	9039.75
0	PLBD2	1276.25
0	PLCH1	5.75
0	PLCXD1	1392.25
0	PLEKHN1	29.75
0	PLG	32.25
0	PLP1	7.25
0	PLS3	113.75
0	PLXDC2	81.75
0	PMS2P3	245.0
0	PMS2P9	6.25
0	PNLIPRP1	113.0
0	PNPLA5	76.5
0	POFUT1	1512.5
0	POGK	1512.25
0	POLK	2015.75
0	POMZP3	246.5
0	PON2	97.5
0	POPDC2	70.75
0	PORCN	650.75
0	POU5F1B	189.25
0	POU6F2	236.25
0	PPDPF	2566.25
0	PPM1H	14.5
0	PPP1R1C	9.5
0	PPP1R42	4.5
0	PRELID2	235.0
0	PREX2	88.25
0	PRF1	367.0
0	PRKAR2B	14.0
0	PRR16	61.5
0	PRRG3	96.5
0	PRRT4	2.25
0	PSCA	2.5
0	PSMC3	1873.0
0	PTCHD1	229.25
0	PTCHD3	66.5
0	PTGS1	24.25
0	PTPRD	8.75
0	PTPRN2	41.75
