	SRX5797708	SRX5797709	SRX5797712	SRX5797713	SRX5797716	SRX5797717
DDX55P1	0	0	0	13	0	0
DDX56	1342	2045	1445	1598	4	1559
DDX58	1703	1445	1107	990	592	1341
DDX59	286	580	607	355	61	420
DDX6	5251	8067	3205	5984	4149	4227
DDX60	688	1120	361	737	2	854
DDX60L	620	1194	796	1033	1060	942
DEAF1	251	400	383	157	809	276
DECR1	689	1326	721	875	209	662
DECR2	160	125	57	114	33	98
DEDD	2071	2161	900	1268	1074	1424
DEDD2	279	740	524	169	1	443
DEF6	379	819	386	431	89	459
DEF8	430	717	110	400	7	525
DEFB109F	0	7	0	0	0	3
DEFB122	3	4	0	1	0	2
DEFB133	3	5	4	5	0	2
DEGS1	5293	6328	2560	2394	499	3804
DEGS2	9	48	18	11	17	29
DEK	1538	1693	708	1042	1139	880
DELE1	2327	4540	1574	2303	1749	2793
DELEC1	13	27	14	41	24	42
DENND10	798	1195	423	754	99	869
DENND10P1	92	50	13	11	0	16
DENND11	296	800	332	537	1194	500
DENND1A	96	312	139	185	42	188
DENND1B	1233	1115	1143	927	888	712
DENND1C	1241	2284	1814	1129	1640	1565
DENND2A	177	391	205	241	150	239
DENND2B	0	10	2	6	1	9
DENND2C	44	161	151	114	76	96
DENND2D	5954	12028	3834	5830	2731	7983
DENND3	213	1153	558	617	45	593
DENND4A	1182	3015	884	1698	1080	2091
DENND4B	439	863	752	396	569	639
DENND4C	2234	2615	1027	1546	1040	2133
DENND5A	1198	4545	609	1864	258	2490
DENND5B	27	154	46	113	369	86
DENND6A	250	888	379	402	480	405
DENND6B	813	612	301	415	369	303
DENR	3360	3300	1282	1788	635	2186
DEPDC1	0	11	1	11	9	5
DEPDC1B	3	75	12	21	2	31
DEPDC4	53	92	92	46	48	80
DEPDC5	332	1522	886	1026	389	1151
DEPDC7	2	28	0	46	1	35
DEPP1	0	21	0	2	0	0
DEPTOR	71	110	187	53	0	31
DERA	797	1782	1008	926	273	1036
DERL1	3867	3364	1621	2037	764	2756
DERL2	2581	5104	2580	2785	1490	3066
DERL3	1	75	60	120	0	32
DERPC	253	415	341	194	706	272
DESI1	83	425	233	256	584	258
DESI2	328	286	14	137	968	198
DET1	331	587	141	325	178	249
DEXI	149	149	89	133	1	99
DFFA	1835	4803	2741	2931	1927	2614
DFFB	82	705	278	370	364	354
DGAT1	11	177	38	95	0	124
DGAT2	18	53	26	26	23	21
DGCR2	200	445	900	282	27	628
DGCR5	2	38	19	18	8	20
DGCR6	50	15	2	8	38	32
DGCR6L	483	177	302	121	1	462
DGCR8	6	509	100	243	53	393
DGKA	1731	9218	4005	4921	3959	6318
DGKB	44	86	58	78	48	73
DGKD	223	334	314	185	103	271
DGKE	106	669	410	440	41	363
DGKG	0	1	1	7	1	1
DGKH	167	383	488	260	299	168
DGKQ	8	100	73	80	0	67
