	SRX5797708	SRX5797709	SRX5797712	SRX5797713	SRX5797716	SRX5797717
RHBDD1	1019	849	565	644	31	764
RHBDD2	1902	2240	1321	1280	838	1656
RHBDD3	491	212	85	116	45	186
RHBDF1	1	65	0	4	0	9
RHBDF2	491	1508	403	785	886	837
RHBDL2	44	91	89	62	56	55
RHBDL3	81	4	5	7	0	2
RHBG	98	172	107	97	90	103
RHCE	4	6	1	6	1	5
RHCG	1	0	1238	3	0	0
RHD	207	377	136	197	150	308
RHEB	446	661	195	179	992	309
RHEBL1	188	337	79	160	1	175
RHEX	15	16	8	8	0	15
RHNO1	1303	1637	1344	924	71	667
RHOA	24153	35761	12533	17270	5995	19176
RHOB	507	644	445	493	39	1002
RHOBTB1	193	21	0	38	20	32
RHOBTB2	381	506	136	213	3	266
RHOBTB3	29	524	106	314	31	293
RHOC	10672	9987	4720	5158	2276	5264
RHOF	6676	4736	2052	2455	936	3419
RHOG	3908	2603	898	1598	306	1778
RHOH	7172	8666	4856	6623	999	5386
RHOJ	9	32	22	23	10	12
RHOQ	70	313	296	303	2	383
RHOT1	52	742	429	367	5	542
RHOT2	343	547	812	326	61	317
RHOU	0	56	0	30	0	0
RHOXF1P1	0	6	3	1	0	3
RHOXF1P3	49	225	27	117	115	109
RHOXF2	0	10	0	4	0	0
RHOXF2B	3	4	1	0	0	3
RHPN1	0	19	16	16	0	42
RHPN2	37	114	82	88	69	83
RIBC1	0	16	1	14	1	24
RIBC2	0	73	1	10	0	20
RIC1	32	391	52	204	832	271
RIC3	2	16	23	4	2	9
RIC8A	5280	4188	1626	2087	1544	2727
RIC8B	467	419	632	271	64	388
RICTOR	2540	5537	1726	2470	1129	3511
RIDA	2	198	35	161	0	147
RIF1	2901	3465	1872	2017	435	2636
RILP	0	39	55	17	0	29
RILPL1	157	587	403	360	187	306
RILPL2	499	1463	619	738	245	834
RIMBP3	179	47	108	0	0	0
RIMBP3B	0	0	0	39	0	55
RIMBP3C	44	326	0	30	108	38
RIMKLA	14	54	47	33	13	63
RIMKLB	84	946	490	614	43	433
RIMKLBP1	0	1	22	19	161	2
RIMKLBP2	0	16	16	11	0	2
RIMS1	29	80	50	52	26	49
RIMS2	219	585	413	481	225	492
RIMS3	54	170	210	117	1	92
RIN1	14	52	27	13	3	15
RIN2	2	47	187	117	4	54
RIN3	225	556	184	329	203	352
RING1	103	231	51	96	202	115
RINL	538	1247	807	523	634	552
RINT1	507	829	322	545	163	825
RIOK1	1057	2290	933	1317	820	1717
RIOK2	1821	1483	552	1066	269	1048
RIOK3	1887	4314	1186	2383	1312	2351
RIOX1	270	294	141	157	61	320
RIOX2	2074	2229	724	1290	1	1122
RIPK1	447	800	498	447	3	583
RIPK2	281	622	934	622	919	825
RIPK3	610	1183	822	454	0	488
RIPOR1	458	505	122	171	9	288
RIPOR2	1307	4186	1910	3566	4907	3990
RIPOR3	31	237	252	181	148	156
RIPPLY3	54	189	93	127	102	103
RIT1	2030	2720	805	1328	645	1036
RITA1	335	74	60	69	4	69
RLBP1	0	2	62	9	0	4
RLF	519	1918	772	1149	497	1380
RLIM	212	902	346	686	124	959
RLIMP1	0	53	13	54	0	27
RLN1	132	82	23	43	0	80
RLN2	203	151	88	116	201	90
RMC1	40	373	268	242	618	244
RMDN1	1219	1639	1284	1050	527	1424
RMDN2	2	252	118	149	6	123
RMDN3	1545	1211	298	551	78	733
RMI1	316	792	415	489	1	409
RMI2	190	85	216	39	3	57
RMND1	448	1314	450	820	123	681
RMND5A	2078	4481	1759	2245	705	3331
RMND5B	339	387	161	231	25	293
RNA5-8SP6	1617	1089	573	541	604	612
RNA5SP122	15	6	9	3	0	2
RNA5SP127	16	1	1	2	0	2
RNA5SP130	0	0	8	2	0	2
RNA5SP149	45	33	11	10	7	7
RNA5SP199	0	6	2	1	0	1
RNA5SP201	0	0	8	1	0	3
RNA5SP202	138	191	58	37	41	37
RNA5SP219	0	6	0	4	0	6
RNA5SP244	0	3	0	0	0	14
RNA5SP260	0	3	5	5	0	0
RNA5SP282	0	4	15	3	20	5
RNA5SP307	0	1	0	3	17	2
RNA5SP383	29	4	0	3	0	3
RNA5SP435	0	0	0	0	10	1
RNA5SP474	0	2	5	2	5	2
RNA5SP490	0	3	0	6	0	3
RNA5SP515	0	3	0	8	5	0
RNA5SP68	5	3	0	1	0	2
RNA5SP78	7	8	0	2	1	0
RNASE10	3	17	0	7	0	6
RNASE4	30	52	4	23	0	36
RNASE6	0	168	79	266	0	83
RNASEH1	1716	2002	1584	1161	58	1186
RNASEH2A	678	1312	775	725	611	708
RNASEH2B	768	1367	1034	800	559	935
RNASEH2C	696	975	558	409	451	774
RNASEK	4509	8539	3304	4083	2622	4209
RNASEK-C17orf49	1188	1628	653	905	353	806
RNASEL	1445	2231	858	1360	1500	1761
RNASET2	270	470	321	552	1	511
RND1	38	180	40	78	34	151
RND2	11	35	13	36	28	19
RNF10	815	2908	1311	1786	303	1789
RNF103	138	396	360	247	939	244
RNF103-CHMP3	0	20	0	77	0	24
RNF11	749	1007	346	591	1619	598
RNF111	1202	1092	933	682	1255	1022
RNF113A	743	1691	730	1056	88	1285
RNF114	2368	3142	1191	1828	1790	2214
RNF115	1131	1947	1032	1251	1562	1352
RNF121	750	749	11	433	451	400
RNF122	15	107	84	73	35	99
RNF123	24	663	237	363	494	548
RNF125	4616	6874	3114	3492	2203	3493
RNF126	0	63	44	26	14	27
RNF13	1938	2872	1508	1657	1562	2012
RNF130	467	651	251	380	321	341
RNF135	233	289	11	121	6	180
RNF138	943	1889	823	927	648	1318
RNF138P1	0	4	0	9	0	0
RNF139	1039	1037	383	421	367	745
RNF14	1142	3167	1019	1853	131	1771
RNF141	1700	1129	645	772	66	700
RNF144A	1451	1582	304	813	643	1158
RNF144B	1265	3131	609	1422	15	777
RNF145	499	964	512	524	4	515
RNF146	2043	2215	979	1142	550	1214
RNF149	785	1083	441	558	254	762
RNF14P3	1	7	103	8	0	7
RNF152	422	960	141	319	22	654
RNF157	119	649	187	395	128	484
RNF165	30	334	171	171	27	156
RNF166	24	127	126	28	8	53
RNF167	3332	4780	3172	2958	2210	3498
RNF168	3879	7807	2238	4385	2653	6477
RNF169	127	306	43	182	0	324
RNF170	1014	2055	1061	898	1285	940
RNF175	0	15	0	21	0	9
RNF180	11	23	9	18	4	3
RNF181	1046	2085	830	1074	3	990
RNF182	3	6	7	7	1	5
RNF185	828	1691	462	1182	1055	1084
RNF187	356	659	357	430	173	435
RNF19A	1106	3358	1383	1637	941	1960
RNF19B	223	811	19	270	2	436
RNF2	1095	688	196	560	333	584
RNF20	2210	2757	1477	1831	1121	1699
RNF207	37	539	194	229	53	237
RNF208	0	15	6	3	0	0
RNF212	73	154	100	101	102	105
RNF212B	8	1	3	1	1	0
RNF213	4865	7759	2429	3816	2819	4638
RNF214	453	784	283	420	3	472
RNF215	32	178	95	116	54	68
RNF216	3088	3635	2248	1816	568	2160
RNF216P1	730	1579	944	886	398	1057
RNF217	127	122	21	57	27	39
RNF220	153	592	499	411	113	423
RNF222	31	83	34	78	44	60
RNF223	2	23	12	13	17	16
RNF227	124	598	721	505	125	415
RNF24	1302	1173	672	1342	732	1176
RNF25	704	808	212	425	564	380
RNF26	1065	1441	688	815	5	809
RNF31	463	632	476	261	6	433
RNF32	0	38	0	16	0	1
RNF34	2996	4711	1439	2505	1175	2673
RNF38	1196	980	929	812	4	1309
RNF39	0	11	0	8	0	3
RNF4	1653	6383	2746	3288	1383	3967
RNF40	566	1212	906	787	152	986
RNF41	2459	3558	849	2009	467	2057
RNF43	387	1234	341	493	155	410
RNF44	467	632	311	263	136	458
RNF5	1280	1915	703	1127	396	1262
RNF6	750	1840	574	995	0	1449
RNF7	1697	2676	1356	1609	1263	1799
RNF8	418	378	524	251	26	315
RNFT1	1223	3100	1932	1630	599	2187
RNFT1P3	2	22	10	11	10	36
RNFT2	179	625	355	404	184	387
RNGTT	1703	1139	699	852	1881	978
RNH1	3391	3024	2092	1463	2000	2179
RNLS	247	123	27	91	0	98
RNMT	1444	1993	1002	1084	372	1212
RNPC3	1117	1334	826	731	358	605
RNPEP	869	587	656	442	340	282
RNPEPL1	34	271	139	113	104	159
RNPS1	5794	6239	2922	2524	3679	3802
RO60	8427	10377	6463	5734	2657	6553
ROBO1	80	452	266	377	1527	821
ROBO2	1	6	5	5	10	8
ROBO3	2	53	1	20	1	7
ROBO4	1	12	20	10	6	15
ROCK1	3470	5602	2636	3089	2828	3156
ROCK1P1	6	3	0	22	3	11
ROCK2	726	769	249	472	26	444
ROGDI	279	237	196	75	2	124
ROM1	362	53	70	32	58	49
ROMO1	1652	3114	1135	1596	913	1570
ROPN1L	1	8	0	0	0	5
ROR1	0	38	0	2	5	16
RORA	1926	2094	1352	875	1313	1986
RORB	76	109	77	89	42	81
RORC	7524	11914	5180	7924	2825	9533
RP1L1	61	275	102	149	56	86
RP2	478	473	414	376	641	594
RP9	2	156	2	138	0	85
RP9P	2	84	81	59	48	25
RPA1	10998	13148	4438	5194	2123	9158
RPA2	4990	9225	3892	5703	1081	6502
RPA3	686	1183	639	642	313	733
RPA4	1	94	0	63	1	93
RPAIN	1292	2661	1163	1815	1680	1644
RPAP1	438	1349	468	853	147	1133
RPAP2	3272	8223	4853	5272	3485	5192
RPAP2P1	0	1	0	10	0	0
RPAP3	1003	1662	458	958	411	1268
RPE	603	730	773	538	3	474
RPEP4	0	35	0	11	0	19
RPF1	2006	2221	1149	1439	546	1429
RPF2	1439	1583	620	733	9	913
RPGR	566	958	201	496	192	658
RPGRIP1	7	10	14	6	1	11
RPGRIP1L	58	300	149	175	108	149
RPH3A	2	20	18	13	17	5
RPH3AL	23	79	172	119	34	65
RPIA	1141	1524	831	842	384	622
RPL10	56114	90395	47959	72465	27601	51665
RPL10A	11221	13956	7054	9752	6294	7993
RPL10AP1	3	5	3	14	0	5
RPL10AP2	6	2	1	1	5	1
RPL10L	2	8	1	4	0	3
RPL10P1	12	6	6	9	23	13
RPL10P10	5	2	0	3	0	3
RPL10P12	54	64	37	39	6	59
RPL10P13	5	2	8	3	5	2
RPL10P14	2	4	4	2	2	2
RPL10P15	22	33	0	8	9	24
RPL10P16	20	29	16	26	7	20
RPL10P17	2	3	3	7	3	2
RPL10P19	5	1	1	1	1	21
RPL10P2	7	5	6	13	3	3
RPL10P3	15	28	18	11	5	18
RPL10P5	2	3	2	2	1	3
RPL10P6	676	1198	2	5	541	1249
RPL10P7	4	9	4	9	2	5
RPL10P8	1	2	1	6	0	1
RPL10P9	664	941	15	7	534	1127
RPL11	16915	24227	12679	17518	6652	14175
RPL11P3	15	51	36	26	2	45
RPL12	17264	23157	11998	14994	8053	14435
RPL12P1	7	0	7	0	0	1
RPL12P10	0	3	7	1	0	0
RPL12P11	3	12	4	7	2	9
RPL12P12	7	7	22	10	0	1
RPL12P13	2	7	3	2	2	1
RPL12P17	1	7	1	1	4	4
RPL12P21	42	10	11	5	2	2
RPL12P27	0	3	1	7	0	0
RPL12P29	0	5	0	2	0	4
RPL12P33	3	6	1	3	1	3
RPL12P37	3	3	4	5	1	7
RPL12P38	244	327	231	250	175	236
RPL12P42	27	8	3	4	0	0
RPL12P44	80	32	24	12	0	25
RPL12P6	3	2	0	5	0	3
RPL12P8	7	2	2	5	4	4
RPL13	22344	11206	16108	8192	24743	10165
RPL13A	64032	94250	54747	74004	32186	57679
RPL13AP	1	3	3	2	0	1
RPL13AP12	1	27	53	27	0	20
RPL13AP2	5	5	5	4	0	1
RPL13AP20	5	10	3	18	0	4
RPL13AP23	3	4	2	5	3	6
RPL13AP25	26	10	12	4	23	8
RPL13AP3	8	8	8	17	1	6
RPL13AP5	32	15	101	26	85	12
RPL13AP6	16	12	18	17	10	2
RPL13AP7	3	9	11	3	9	6
RPL13P12	1711	180	2	10	2	7
RPL13P2	1	2	2	7	2	2
RPL13P4	0	6	0	2	0	2
RPL13P5	90	117	59	45	6	38
RPL14	24926	36897	16212	23585	13089	22927
RPL14P1	9	2	3	0	0	2
RPL14P3	6	3	2	4	2	6
RPL14P6	0	1	0	6	0	7
RPL15	74209	102508	50722	73571	24804	60276
RPL15P1	2	4	5	2	0	2
RPL15P13	5	2	6	6	2	6
RPL15P14	11	11	3	11	3	8
RPL15P18	6	11	11	9	3	10
RPL15P2	11	11	9	12	14	7
RPL15P20	4	4	5	7	2	2
RPL15P21	2	8	7	0	0	2
RPL15P3	14	24	29	25	10	10
RPL15P4	5	3	1	3	2	3
RPL15P5	8	12	7	6	1	7
RPL17	13044	19619	11087	15469	6496	11340
RPL17-C18orf32	2227	2841	944	1525	824	1755
RPL17P10	0	15	0	10	1	0
RPL17P20	2	3	2	2	0	2
RPL17P25	0	3	2	0	2	3
RPL17P33	1	1	5	5	1	2
RPL17P34	1	0	6	8	0	2
RPL17P36	3	3	8	3	7	3
RPL17P40	34	30	42	19	0	48
RPL17P50	19	65	20	14	84	43
RPL18	13365	17474	10652	13451	6225	11598
RPL18A	54899	61737	41008	50817	19965	38601
RPL18AP15	6	2	9	7	5	2
RPL18AP16	12	16	7	10	3	1
RPL18AP3	4	2	0	2	0	2
RPL18AP7	2	8	1	14	1	14
RPL18AP8	0	2	2	2	1	3
RPL18P10	80	104	0	31	3	52
RPL19	31551	46561	24334	35671	16925	27494
RPL19P11	1	2	5	2	3	2
RPL19P13	5	2	1	1	2	0
RPL19P16	5	10	1	7	0	6
RPL19P21	5	4	6	2	1	3
RPL19P4	1	5	1	4	2	1
RPL19P5	0	2	4	5	0	1
RPL21	68998	92918	52124	71464	29828	58180
RPL21P1	5	6	0	7	0	10
RPL21P10	2	18	6	20	3	7
RPL21P104	7	5	3	4	1	10
RPL21P106	1	3	2	3	2	3
RPL21P107	5	4	3	9	2	5
RPL21P11	8	16	20	22	14	0
RPL21P110	7	17	4	7	3	9
RPL21P111	3	8	9	7	1	8
RPL21P12	1	2	4	5	0	5
RPL21P120	10	2	1	2	3	4
RPL21P121	31	7	2	1	0	10
RPL21P123	3	59	80	77	92	32
RPL21P127	14	13	6	6	5	13
RPL21P129	3	5	4	7	0	6
RPL21P13	1	2	2	5	2	2
RPL21P131	9	9	7	17	5	6
RPL21P132	5	1	2	2	0	0
RPL21P135	29	87	38	53	48	58
RPL21P136	2	7	0	6	0	5
RPL21P17	9	4	3	2	1	2
RPL21P18	8	5	3	1	0	3
RPL21P2	4	10	6	13	1	2
RPL21P28	0	16	18	3	0	2
RPL21P3	3	1	2	1	0	3
RPL21P30	1	2	0	5	1	1
RPL21P31	1	3	13	1	1	6
RPL21P32	1	2	0	5	0	2
RPL21P33	4	2	3	1	0	5
RPL21P34	3	8	0	8	2	8
RPL21P38	8	13	2	7	5	7
RPL21P39	18	28	19	12	3	6
RPL21P4	13	9	8	8	1	8
RPL21P41	11	4	9	11	1	2
RPL21P42	2	4	2	5	2	3
RPL21P43	2	2	7	4	0	2
RPL21P44	33	61	31	43	0	45
RPL21P5	1	13	4	7	2	4
RPL21P65	1	4	1	1	1	2
RPL21P66	1	2	5	1	4	1
RPL21P7	12	7	4	11	2	3
RPL21P71	2	5	3	6	0	2
RPL21P75	0	5	41	18	15	23
RPL21P8	6	6	10	12	3	16
RPL21P88	2	0	2	1	3	3
RPL21P89	0	12	0	9	0	12
RPL21P90	5	4	3	4	2	11
RPL21P91	2	0	3	6	0	0
RPL21P92	1	2	2	3	1	2
RPL21P93	6	3	6	4	3	5
RPL22	7166	9883	4337	7210	1878	5746
RPL22L1	875	2984	1392	1756	632	2244
RPL22P24	0	2	17	1	0	6
RPL22P3	1	17	1	27	0	20
RPL23	17278	26882	14143	21269	7165	16108
RPL23A	40437	64993	33204	49030	21471	40004
RPL23AP1	27	42	26	34	10	39
RPL23AP18	1	31	4	19	2	29
RPL23AP19	1	4	1	1	2	1
RPL23AP22	0	12	1	14	0	10
RPL23AP23	0	26	30	5	0	11
RPL23AP3	4	3	1	1	1	1
RPL23AP30	0	7	3	1	0	1
RPL23AP34	4	44	30	35	15	38
RPL23AP35	2	2	4	1	7	2
RPL23AP36	0	6	0	13	0	10
RPL23AP37	8	14	10	8	3	6
RPL23AP38	5	3	0	4	3	1
RPL23AP42	21	4	0	8	3	9
RPL23AP43	10	12	14	15	6	13
RPL23AP45	0	0	0	0	0	25
RPL23AP46	10	7	8	4	1	4
RPL23AP47	0	6	0	7	0	0
RPL23AP49	6	11	3	15	1	20
RPL23AP50	0	11	0	5	0	9
RPL23AP52	60	9	1	8	0	3
RPL23AP53	152	111	20	90	16	83
RPL23AP55	1	7	3	5	0	2
RPL23AP57	11	11	9	19	11	5
RPL23AP58	6	64	53	45	0	13
RPL23AP6	7	7	2	6	4	2
RPL23AP61	3	5	8	6	3	5
RPL23AP63	70	98	103	72	0	12
RPL23AP64	74	22	23	12	68	11
RPL23AP65	3	9	5	11	3	1
RPL23AP7	604	291	65	189	173	158
RPL23AP74	2	15	1	15	6	10
RPL23AP75	6	4	1	2	0	2
RPL23AP77	11	11	10	13	2	6
RPL23AP8	1	10	5	4	2	4
RPL23AP82	902	772	399	562	101	451
RPL23AP83	5	4	6	2	6	9
RPL23AP87	29	76	78	67	20	37
RPL23AP91	1	7	0	3	2	4
RPL23AP96	3	4	0	4	3	2
RPL23AP97	29	20	5	14	17	11
RPL23P2	3	5	8	5	10	6
RPL24	11322	18618	8946	13977	5548	12271
RPL24P2	1	8	6	4	12	11
RPL24P4	11	0	3	1	4	0
RPL24P8	0	2	7	0	0	1
RPL26	4823	8348	4223	6476	2718	3754
RPL26L1	150	1129	685	604	414	536
RPL26P19	5	4	4	0	0	1
RPL26P30	4	46	19	22	30	22
RPL26P6	20	18	46	21	1	2
RPL27	13448	21516	10383	15708	7523	16007
RPL27A	20075	28947	14424	24602	8985	19445
RPL27AP	1	6	3	1	1	3
RPL27AP5	1	2	2	4	1	3
RPL27P7	1	14	1	8	0	8
RPL28	11295	14741	7559	11171	6225	10019
RPL29	21106	28350	14396	20016	8097	16866
RPL29P11	0	0	7	3	7	1
RPL29P14	62	35	1	17	0	32
RPL29P2	5	2	1	2	1	0
RPL29P23	72	17	0	6	1	4
RPL29P24	5	8	22	2	0	3
RPL29P25	49	81	45	42	39	48
RPL29P3	3	6	1	1	1	0
RPL3	155403	174607	88140	127003	42579	108080
RPL30	17473	28595	12587	21108	7652	17163
RPL30P11	11	34	28	23	4	26
RPL30P13	0	0	0	2	68	0
RPL30P14	3	0	1	1	5	1
RPL30P2	0	3	1	5	0	1
RPL30P4	2	8	2	7	0	7
RPL30P7	2	2	9	1	3	1
RPL31	25859	38268	20247	29744	10334	22575
RPL31P1	1	6	0	2	1	1
RPL31P11	10	13	7	10	5	11
RPL31P17	1	4	1	1	1	6
RPL31P3	0	9	3	3	5	4
RPL31P35	1	2	1	2	2	6
RPL31P47	0	9	29	4	0	2
RPL31P49	9	4	3	4	3	2
RPL31P52	0	33	43	14	0	12
RPL31P58	0	1	1	9	0	0
RPL31P61	56	2	0	0	0	0
RPL31P63	5	10	1	0	1	4
RPL31P7	4	1	2	3	0	1
RPL32	25947	33146	19146	25176	10592	21536
RPL32P26	1	6	14	12	0	9
RPL32P29	235	85	164	133	0	85
RPL32P3	597	856	336	441	416	488
RPL32P33	2	4	3	2	0	1
RPL34	21811	36247	17028	28780	9503	22079
RPL34P1	22	2	0	6	0	5
RPL34P18	8	12	5	4	7	5
RPL34P20	1	60	0	56	18	28
RPL34P23	0	5	2	2	1	4
RPL34P26	1	3	2	2	1	1
RPL34P27	2	1	4	4	2	8
RPL34P31	1	5	2	8	4	3
RPL34P34	1	8	3	1	1	0
RPL34P6	5	5	1	5	1	5
RPL35	13306	19522	9050	13738	6589	11245
RPL35A	12478	21913	9832	14532	5363	12838
RPL35AP23	1	4	0	0	7	0
RPL35AP32	24	74	87	68	99	59
RPL35P2	5	15	28	6	0	4
RPL35P3	0	5	2	5	0	4
RPL35P4	4	7	0	1	4	1
RPL35P5	7	4	2	4	1	4
RPL35P9	2	2	5	1	1	1
RPL36	17494	25215	14057	17363	6746	14336
RPL36A	9679	15042	7600	10925	3884	6761
RPL36A-HNRNPH2	982	1330	532	826	410	868
RPL36AL	8565	12904	5106	7617	3589	6654
RPL36AP13	42	10	2	9	0	2
RPL36AP15	10	4	30	38	7	25
RPL36AP21	4	3	1	0	1	4
RPL36AP40	4	2	2	4	0	3
RPL36AP43	0	1	0	1	31	0
RPL36AP48	1	6	1	7	0	2
RPL36AP51	1	3	2	1	2	1
RPL37	12870	19107	8598	13230	5274	10271
RPL37A	10212	18318	8784	12474	5451	10485
RPL37AP1	7	4	2	4	1	2
RPL37AP8	0	0	9	3	2	2
RPL37P6	70	117	43	83	24	54
RPL38	5281	8492	4228	6366	2938	5352
RPL38P4	41	2	2	1	0	5
RPL38P5	36	2	2	7	1	1
RPL39	10126	16811	6486	11611	3851	9186
RPL39L	198	138	12	50	187	152
RPL39P3	1069	1765	717	1200	517	1106
RPL39P34	5	0	0	0	21	4
RPL39P36	0	14	1	5	0	1
RPL39P38	11	2	0	3	0	0
RPL39P40	1	4	1	2	1	1
RPL39P5	294	453	184	233	119	264
RPL3L	29	36	24	20	5	40
RPL3P1	20	23	65	14	5	15
RPL3P10	1	4	1	2	0	5
RPL3P11	11	11	3	11	4	6
RPL3P12	8	15	4	10	3	4
RPL3P2	772	1269	112	38	1158	2948
RPL3P3	27	32	11	19	7	19
RPL3P4	0	5	2	5	0	0
RPL3P5	14	12	11	11	3	12
RPL3P6	9	14	10	15	5	15
RPL3P7	35	24	14	10	9	13
RPL3P8	4	4	7	7	2	7
RPL3P9	19	14	6	19	5	14
RPL4	37476	39216	24764	28340	11863	25013
RPL41	52224	94683	43755	69741	23281	58760
RPL41P1	389	596	234	331	182	287
RPL41P2	3	44	19	15	2	11
RPL4P1	3	2	6	4	2	4
RPL4P2	3	4	2	1	2	3
RPL4P3	2	5	3	2	1	6
RPL4P4	5	5	4	2	3	8
RPL4P5	13	7	6	5	3	1
RPL4P6	2	3	0	6	0	0
RPL4P7	1	46	148	68	1	54
RPL5	1768	2586	1121	1917	1440	2329
RPL5P1	6	5	3	4	0	2
RPL5P11	3	5	1	1	0	0
RPL5P12	3	9	1	1	2	0
RPL5P13	0	0	0	4	0	9
RPL5P14	0	6	2	8	0	9
RPL5P15	0	1	3	4	1	4
RPL5P17	9	3	1	2	2	1
RPL5P18	4	3	3	2	6	2
RPL5P22	2	2	3	3	2	3
RPL5P23	3	26	2	36	0	36
RPL5P24	1	3	1	1	2	6
RPL5P26	3	3	3	7	2	0
RPL5P27	1	1	3	0	2	4
RPL5P28	0	2	4	2	2	1
RPL5P29	4	5	2	5	0	1
RPL5P30	3	16	5	4	1	7
RPL5P34	8	51	9	12	8	21
RPL5P35	5	0	3	2	1	6
RPL5P4	39	37	19	18	235	33
RPL5P5	1	1	4	5	0	3
RPL5P6	1	0	3	5	0	2
RPL5P8	16	13	11	13	4	9
RPL5P9	4	13	2	3	1	1
RPL6	16426	21783	12744	14820	8033	11596
RPL6P24	1	39	1	5	0	11
RPL6P25	5	11	2	1	2	0
RPL6P29	3	1	1	0	103	113
RPL6P4	5	2	3	1	1	0
RPL6P8	0	16	1	1	1	2
RPL6P9	0	5	0	0	0	6
RPL7	73842	86134	45509	67041	27848	54254
RPL7A	18844	24358	12015	17443	8767	14869
RPL7AP10	1	3	0	11	1	0
RPL7AP11	7	11	1	0	0	1
RPL7AP14	3	3	1	2	1	5
RPL7AP22	5	0	0	1	4	0
RPL7AP26	0	3	0	2	1	8
RPL7AP3	0	3	1	4	1	3
RPL7AP30	19	4	2	22	0	7
RPL7AP31	8	4	6	2	0	0
RPL7AP34	1	4	1	3	2	4
RPL7AP38	2	4	0	1	4	0
RPL7AP49	0	14	0	13	0	0
RPL7AP50	2	10	3	4	0	0
RPL7AP53	3	2	1	0	2	3
RPL7AP6	3	5	0	2	0	1
RPL7AP60	1	72	3	66	0	59
RPL7AP65	87	10	3	9	0	21
RPL7AP66	2	2	0	0	4	3
RPL7AP73	5	0	0	0	10	0
RPL7L1	3914	9062	4326	5235	1916	5163
RPL7L1P1	1	13	1	9	1	7
RPL7L1P3	0	74	44	7	0	8
RPL7L1P9	0	17	16	24	0	12
RPL7P1	50	29	12	12	5	12
RPL7P10	4	6	0	1	2	2
RPL7P11	6	13	4	5	6	3
RPL7P12	6	6	4	8	0	4
RPL7P13	5	2	5	4	1	1
RPL7P16	10	3	8	15	3	5
RPL7P18	6	2	0	2	1	3
RPL7P19	3	9	1	10	0	6
RPL7P20	3	3	6	1	0	1
RPL7P21	0	6	0	10	0	7
RPL7P23	23	10	8	12	0	6
RPL7P24	0	5	0	9	1	8
RPL7P25	9	1	4	2	0	4
RPL7P26	7	8	3	10	14	10
RPL7P27	3	4	2	6	0	3
RPL7P32	9	13	12	13	4	4
RPL7P33	6	2	5	3	3	8
RPL7P36	6	4	3	3	1	1
RPL7P37	6	13	4	10	0	5
RPL7P38	4	3	3	0	5	5
RPL7P4	1	6	3	7	0	3
RPL7P41	9	15	14	15	12	17
RPL7P42	33	14	0	12	4	8
RPL7P44	2	9	4	1	0	1
RPL7P45	1	0	3	2	3	1
RPL7P46	0	75	0	21	0	36
RPL7P47	29	10	13	11	4	10
RPL7P48	8	3	2	7	2	3
RPL7P49	1	12	0	12	0	5
RPL7P50	10	12	4	6	4	1
RPL7P51	2	5	3	2	1	5
RPL7P52	10	125	40	69	3	99
RPL7P53	4	2	0	5	1	1
RPL7P56	4	3	3	4	1	0
RPL7P57	0	5	0	3	0	4
RPL7P58	2	8	6	1	1	4
RPL7P59	7	2	2	5	2	2
RPL7P6	14	18	14	12	5	3
RPL7P60	1	5	1	3	2	6
RPL7P7	2	6	2	17	7	11
RPL7P8	7	4	2	9	1	4
RPL7P9	15	63	6	0	0	0
RPL8	34036	39396	22472	29913	13556	26224
RPL9	15448	26291	13096	17703	12747	26768
RPL9P14	7	1	0	2	0	3
RPL9P18	4	5	5	6	1	7
RPL9P2	3	14	66	9	0	4
RPL9P28	1	3	0	1	3	3
RPL9P29	0	14	5	10	0	3
RPL9P3	3	0	2	6	0	6
RPL9P30	2	6	0	1	0	7
RPL9P32	2	24	4	6	2	19
RPL9P33	0	4	12	1	0	0
RPL9P5	0	3	1	1	5	1
RPL9P7	0	4	5	0	12	0
RPLP0	36575	55203	29925	43775	16917	32461
RPLP0P2	150	357	218	208	145	204
RPLP0P6	9	7	7	4	0	4
RPLP1	53635	94632	39118	64650	22512	51621
RPLP1P13	1	5	2	2	2	3
RPLP1P6	1	17	6	12	1	13
RPLP2	18588	26567	12862	19980	5541	15931
RPN1	7656	7329	3300	4145	1442	4680
RPN2	9850	15907	6221	9441	5255	10035
RPP14	1315	1446	831	1104	382	1117
RPP21	659	1343	817	683	351	861
RPP25L	857	1016	680	752	442	670
RPP30	1328	2522	835	1479	384	1511
RPP38	380	470	118	350	295	243
RPP40	467	444	215	229	445	276
RPRD1A	368	666	469	434	111	432
RPRD1B	285	399	79	361	33	432
RPRD2	1203	1535	558	930	1046	1571
RPS10	7104	10489	4868	6722	2607	5606
RPS10-NUDT3	5063	5111	2690	2856	2518	3269
RPS10P14	2	4	3	3	0	4
RPS10P16	4	7	1	9	1	1
RPS10P18	0	4	0	2	0	4
RPS10P7	116	533	234	406	109	372
RPS11	27260	36854	17834	26249	10621	21278
RPS11P5	9	5	3	5	2	9
RPS12	16753	26352	11843	21742	7911	15851
RPS12P20	0	10	3	8	0	16
RPS12P23	4	0	1	3	0	2
RPS12P26	2	6	0	3	1	10
RPS12P27	1	1	0	9	1	10
RPS12P3	16	23	0	18	0	19
RPS12P4	6	5	3	4	2	6
RPS12P5	0	2	0	8	0	4
RPS13	13598	23199	10951	18056	6193	14532
RPS13P3	14	0	2	0	0	0
RPS13P4	1	21	0	22	0	17
