GeneName	SRX5797708	SRX5797709	SRX5797712	SRX5797713	SRX5797716	SRX5797717	SRR4290846	SRR4290852	SRR4290853	SRR4290854
NOS2P3	64	89	69	48	13	52	66	69	64	110
NOS3	10	54	61	31	12	58	239	382	402	389
NOSIP	2560	3488	875	1631	918	2191	823	894	361	394
NOSTRIN	1	11	11	9	16	14	93	81	81	64
NOTCH1	4	3	0	0	0	2	5	25	48	64
NOTCH2	1350	2737	913	1382	877	1374	2547	3730	4107	5069
NOTCH2NLA	127	669	542	515	564	714	1672	2838	870	1587
NOTCH2NLB	166	79	133	50	0	243	0	0	0	0
NOTCH2NLC	35	58	16	55	6	48	985	2672	447	685
NOTCH3	12	65	43	74	36	54	66	95	39	77
NOTCH4	58	348	194	271	117	324	222	259	182	207
NOTO	17	59	60	54	24	32	68	91	100	104
NOTUM	0	0	0	0	0	0	0	6	4	0
NOVA1	2	3	0	3	2	0	1	3	0	0
NOVA2	14	31	9	23	8	21	43	39	21	50
NOX1	0	1	1	0	0	4	39	1	3	5
NOX4	9	15	15	18	22	9	81	97	92	105
NOX5	8	46	41	27	25	36	107	80	74	132
NOXA1	45	9	34	8	0	14	89	54	20	26
NOXO1	0	8	0	3	2	0	0	0	0	0
NOXRED1	2	35	5	7	0	4	157	80	46	101
NPAP1	103	144	115	94	65	100	167	170	125	152
NPAP1P2	15	26	9	19	22	22	9	12	10	12
NPAP1P3	9	20	16	12	24	4	89	42	42	58
NPAS1	0	5	0	3	0	4	11	14	16	28
NPAS2	16	152	38	127	28	86	1407	614	3864	1268
NPAS3	18	30	18	5	10	12	35	59	49	41
NPAT	2628	2597	1218	1775	54	1939	3497	4211	3542	5608
NPB	5	1	0	3	3	0	41	92	3	27
NPC1	523	1557	479	733	783	890	2575	2537	2695	3462
NPC1L1	4	29	76	18	1	5	7	17	19	26
NPC2	163	706	501	744	574	622	126	128	89	80
NPDC1	0	6	0	2	0	6	185	549	169	347
NPEPL1	12	103	6	59	753	98	1183	1025	281	285
NPEPPS	2438	3322	2055	2458	1763	2788	3368	2763	3714	3641
NPEPPSP1	116	163	45	54	0	97	190	243	96	117
NPFFR1	168	441	282	344	205	299	453	530	414	648
NPFFR2	10	12	8	4	2	37	101	97	57	101
NPHP1	824	249	224	99	34	219	115	107	153	136
NPHP3	441	1171	565	659	356	726	2586	2026	988	1257
NPHP3-ACAD11	0	0	0	7	0	0	31	9	7	17
NPHP4	0	107	0	35	0	69	246	98	311	522
NPHS1	22	60	32	33	17	28	40	35	28	78
NPIPA1	129	1364	694	1020	644	1025	3579	3250	2199	3846
NPIPA3	0	86	35	57	0	11	16	5	24	6
NPIPA5	0	55	50	162	0	27	0	2	48	16
NPIPA7	44	364	101	176	64	245	407	287	33	271
NPIPA9	0	701	284	483	34	392	1499	1084	909	679
NPIPB10P	0	0	5	1	20	8	101	150	12	25
NPIPB11	0	75	5	29	128	62	252	281	207	389
NPIPB12	0	3152	1079	1595	963	2334	15834	20159	12981	18832
NPIPB13	17	312	156	207	263	86	196	432	282	349
NPIPB14P	1	175	185	137	98	136	318	132	166	70
NPIPB15	1	107	120	24	221	82	23	193	7	100
NPIPB2	14	53	114	88	31	55	97	118	148	406
NPIPB3	17	2910	2034	1535	4297	3856	18138	20993	13868	19093
NPIPB4	179	1272	1313	855	869	944	2603	2649	2032	3980
NPIPB5	988	12118	5984	6819	3914	5284	15951	17779	10271	19563
NPIPB6	0	49	98	18	2	42	308	403	268	256
NPIPB8	0	4	0	2	0	2	0	1	2	0
NPIPB9	28	90	39	64	0	7	842	1154	418	897
NPIPP1	0	239	150	113	19	210	94	113	149	186
NPL	404	120	89	51	9	18	60	87	150	127
NPLOC4	1108	2003	910	1023	789	1168	1917	2426	4387	4577
NPM1	24098	29002	15780	19794	9353	17903	17855	14425	123254	95807
NPM1P10	1	4	0	0	0	1	0	0	8	3
NPM1P12	5	7	1	4	5	0	2	1	14	14
NPM1P14	1	2	0	3	1	0	1	0	4	1
NPM1P18	0	0	1	1	0	0	15	13	13	11
NPM1P19	1	0	1	1	0	1	12	2	31	17
NPM1P21	9	4	4	2	6	0	5	5	12	6
NPM1P22	0	4	0	2	1	1	5	2	5	2
NPM1P23	5	1	0	1	0	1	3	3	1	3
NPM1P24	5	16	1	4	2	1	1	4	14	10
NPM1P25	8	1	1	3	7	5	14	18	14	24
NPM1P26	1	0	0	5	0	2	88	75	76	92
NPM1P27	11	34	3	64	160	33	18	12	16	38
NPM1P29	1	0	1	5	0	4	14	9	19	43
NPM1P31	2	0	1	0	0	2	1	1	4	2
NPM1P32	6	3	1	2	2	0	0	1	18	14
NPM1P33	3	2	0	0	2	1	70	25	28	57
NPM1P34	0	4	0	1	2	2	0	0	9	8
NPM1P35	8	11	1	5	2	2	2	4	7	6
NPM1P37	1	63	92	17	2	37	19	23	21	12
NPM1P38	0	0	0	1	0	0	0	1	6	2
NPM1P39	3	2	10	3	7	0	2	2	25	20
NPM1P4	2	0	2	7	1	0	2	0	7	2
NPM1P40	18	15	4	7	8	13	12	6	49	29
NPM1P41	1	1	3	1	0	1	1	0	3	5
NPM1P42	2	0	4	1	2	3	0	0	7	3
NPM1P43	0	5	0	0	0	0	13	2	8	2
NPM1P46	0	3	1	4	4	2	0	8	18	10
NPM1P47	3	0	1	0	0	0	0	0	3	4
NPM1P48	2	0	0	0	1	1	0	0	11	3
NPM1P49	0	9	0	2	0	1	6	5	2	8
NPM1P5	5	3	3	2	2	2	8	4	40	25
NPM1P50	9	1	7	0	0	10	1	0	5	9
NPM1P51	1	6	0	1	0	1	1	0	3	5
