CD4_enhancer_counts_bins	Gene_Name	Mean_Gene_Expression
1	LAX1	549.5
1	LDHD	9.25
1	LILRA4	363.0
1	LILRB3	92.75
1	LIN7A	5.25
1	LIPG	398.0
1	LIPJ	3.0
1	LMAN1L	2.75
1	LMBR1	1970.25
1	LMNA	441.0
1	LMO4	104.0
1	LMOD2	71.5
1	LOXL3	28.75
1	LPAR3	60.25
1	LPCAT4	468.25
1	LPGAT1	2563.25
1	LPP	4482.75
1	LRRC20	75.75
1	LRRC34	328.25
1	LRRC58	4580.25
1	LRRC6	22.25
1	LRRC7	11.75
1	LRRD1	359.25
1	LRRK2	12.75
1	LSM10	174.75
1	LYL1	258.5
1	LYST	2486.5
1	MAGT1	1444.75
1	MAN2A1	1248.75
1	MAN2C1	1246.5
1	MANBAL	178.5
1	MANEA	330.75
1	MAP1A	136.75
1	MAP2	6.25
1	MAP3K5	519.25
1	MAPKAP1	4175.5
1	MAPKAPK2	1988.75
1	MAPRE3	73.75
1	MARCKS	8.75
1	MARS2	1013.25
1	MATN2	132.0
1	MB21D2	86.5
1	MBNL3	530.0
1	MC1R	580.5
1	MCC	178.75
1	MCCD1	11.75
1	MCEE	63.25
1	MCFD2	1306.5
1	MCM4	2517.5
1	MCM8	2023.75
1	MCRS1	609.0
1	MCTP2	555.75
1	MDN1	6823.0
1	MED13	20846.5
1	MEI1	422.0
1	MEIG1	5.5
1	MEIOB	2.0
1	METAP1D	109.25
1	METTL21C	1.5
1	METTL2B	2637.25
1	MFSD1	435.5
1	MGMT	278.5
1	MGST3	591.75
1	MICU1	471.75
1	MKI67	766.5
1	MLC1	0.5
1	MMS22L	2272.75
1	MOB3A	3790.25
1	MOBP	240.75
1	MOK	350.5
1	MON1B	2044.0
1	MOSPD1	88.75
1	MPC2	359.0
1	MPO	1.25
1	MPP4	209.25
1	MRFAP1	3517.25
1	MROH1	652.5
1	MRPL27	245.5
1	MRPS25	954.25
1	MS4A4A	8.75
1	MSANTD4	427.5
1	MTA1	1285.25
1	MTG1	675.75
1	MTHFD2L	535.75
1	MTMR14	1631.5
1	MTMR2	1214.75
1	MTRNR2L11	211008.75
1	MTRNR2L8	1302509.25
1	MTX1	866.25
1	MUC3A	17.25
1	MUTYH	516.5
1	MVB12A	427.75
1	MYEOV	14.75
1	MYH3	373.75
1	MYH7B	521.0
1	MYLK	342.5
1	MYO15B	513.75
1	MYO19	2403.5
1	MYO1E	64.25
1	MYO7A	96.25
1	NAA25	5186.25
1	NAA30	1212.0
1	NAPA	881.75
1	NATD1	245.0
1	NBEAL1	1645.0
1	NBEAL2	2240.5
1	NCAM1	37.5
1	NCAPG	118.0
1	NCL	71791.5
1	NDFIP1	3342.25
1	NDST2	895.25
1	NDST4	11.75
1	NDUFA1	241.0
1	NDUFAF3	1748.0
1	NDUFB2	1291.5
1	NEK11	59.5
1	NEK6	216.0
1	NF2	1878.5
1	NGRN	1659.75
1	NHSL2	833.0
1	NMT2	1883.5
1	NMUR1	88.75
1	NOB1	1515.5
1	NPM1	62835.25
1	NPTN	658.0
1	NPW	4.25
1	NREP	561.0
1	NRROS	198.25
1	NSUN4	1426.5
1	NTSR1	7.0
1	NUBP1	848.75
1	NUDT10	14.0
1	NUDT15	873.75
1	NUFIP2	6896.0
1	NUP153	4363.0
1	NUP160	1941.75
1	NUTF2	1355.0
1	NYAP1	3.25
1	OCIAD2	345.75
1	OLFM2	108.5
1	OPA3	2108.0
1	OPTN	1767.0
1	OR10A4	2.5
1	OR10G4	101.5
1	OR1J2	2.5
1	OR2AG1	73.0
1	OR2G6	484.0
1	OR2L2	428.0
1	OR2L5	41.75
1	OR51B5	45.25
1	OR51D1	18.5
1	OR52I1	118.75
1	OR7A5	11.5
1	OR8G1	10.5
1	OR8J3	47.75
1	OSBPL1A	176.75
1	OSBPL5	90.25
1	OSBPL6	82.5
1	OSGIN2	293.0
1	OTOA	44.25
1	OXSR1	2796.0
1	P2RX7	302.5
1	P2RY13	10.0
1	P4HA2	224.5
1	PACSIN3	98.75
1	PAGR1	217.0
1	PAPPA2	0.25
1	PARP14	4311.5
1	PATL1	3781.25
1	PCBD2	553.0
1	PCBP3	186.0
1	PCDHB1	521.75
1	PCDHB11	39.0
1	PCDHB14	28.25
1	PCDHB16	95.5
1	PCDHGA4	3.25
1	PCGF1	271.25
1	PCK2	1615.5
1	PCMTD2	2561.75
1	PCYT2	197.25
1	PDCL3	962.5
1	PDE7B	91.25
1	PDHX	1350.25
1	PDP2	1491.5
1	PEAK1	2371.5
1	PELI1	1029.5
1	PELI2	242.5
1	PEMT	362.25
1	PEX7	109.75
1	PGAP3	536.75
1	PGRMC2	411.0
1	PHACTR2	6413.5
1	PHAX	975.25
1	PHLDA1	1946.75
1	PHLPP1	1750.75
1	PHYH	154.25
1	PHYHD1	86.25
1	PIANP	100.25
1	PIAS1	3456.5
1	PICK1	307.0
1	PIGA	1124.25
1	PIGK	162.25
1	PKD2L2	219.25
1	PLA2G6	486.25
1	PLCH1	5.75
1	PLEK	154.5
1	PLEK2	22.25
1	PLEKHG4	215.75
1	PLK4	371.75
1	PLP1	7.25
1	PLPP1	309.75
1	PLTP	32.25
1	PLXNB1	70.0
1	PNKP	311.5
1	POC5	187.75
1	POLD3	1664.5
1	POLG2	382.25
1	POLR2D	2519.25
1	POLR2M	2220.75
1	POLRMT	257.75
1	POU6F1	413.75
1	PPARA	2615.5
1	PPFIA1	1462.75
1	PPFIA4	53.0
1	PPIB	2655.25
1	PPM1L	513.5
1	PPP1R13B	396.75
1	PPP1R1B	8.0
1	PPP1R9A	25.5
1	PRDM16	33.0
1	PRDX4	254.0
1	PRKG2	142.75
1	PRNP	1285.75
1	PROC	9.0
1	PRR27	116.0
1	PRRC2A	4154.5
1	PRSS23	349.75
1	PRSS37	1.25
1	PSMB10	1794.25
1	PSMC3IP	348.0
1	PSMD4	1975.0
1	PSMF1	1379.25
1	PSMG3	730.75
1	PSPH	974.5
1	PTBP3	11492.25
1	PTGR1	364.25
1	PTPN21	7.25
1	PTPN3	186.0
1	PTPRA	1230.5
1	QRICH1	5487.0
1	QTRT2	2793.5
1	RAB33B	635.25
1	RAB43	826.5
1	RAB8A	3159.0
1	RABIF	650.0
1	RAD21	6172.75
1	RAD23A	2439.0
1	RAD54L	197.75
1	RAD9A	710.0
1	RAET1E	72.5
1	RAF1	2878.5
1	RALBP1	1252.25
1	RALGAPA1	1750.5
1	RANBP6	705.75
1	RANGRF	179.75
1	RASA3	2120.0
1	RASAL2	369.0
1	RASGRP2	1484.75
1	RASIP1	10.25
1	RASL11B	103.0
1	RASSF1	576.75
1	RASSF8	169.25
1	RB1CC1	1177.25
1	RBCK1	1317.25
1	RBM11	60.25
1	RBM41	797.0
1	RBM47	444.75
1	RCC2	2465.5
1	RCCD1	304.5
1	RDX	1538.25
1	RECQL	392.0
1	RELT	365.25
1	REP15	2.5
1	REPS1	1013.5
1	RFWD3	1759.5
1	RGL2	423.5
1	RGMB	313.5
1	RGS18	12.75
1	RHAG	86.25
1	RHEBL1	13.75
1	RHOJ	116.5
1	RHOU	60.25
1	RIT2	2.25
1	RNF103-CHMP3	4.25
1	RNF130	298.25
1	RNF138	1362.25
1	RNF139	152.25
1	RNF152	133.0
1	RNF182	2.0
1	RNF8	2038.0
1	RPE	400.75
1	RPH3A	40.75
1	RPL10A	11894.0
1	RPL10L	1.25
1	RPS6KC1	166.5
1	RPS7	9099.25
1	RSL1D1	7682.0
1	RSPH4A	37.5
1	RSPH9	84.0
1	RYK	1121.25
1	S1PR1	3297.0
1	SAMHD1	10999.0
1	SAP18	852.25
1	SAPCD1	44.0
1	SARDH	115.5
1	SARM1	599.5
1	SAYSD1	357.5
1	SBF2	1552.0
1	SCAF8	1735.25
1	SCAPER	823.25
1	SCGB3A2	430.5
1	SCN7A	78.0
1	SCN9A	196.5
1	SCPEP1	352.75
1	SCRG1	551.75
1	SDHAF4	216.25
1	SDK2	1295.25
1	SEBOX	33.75
1	SEC13	1567.0
1	SEC14L3	40.5
1	SEC23IP	3859.75
1	SEMA3B	26.75
1	SEMA5A	263.75
1	SEMA6A	235.25
1	SERPINB11	20.5
1	SET	5027.25
1	SETD7	1985.25
1	SETDB1	1418.75
1	SETMAR	387.5
1	SGIP1	7.0
1	SGMS2	5.0
1	SH2D4B	2.5
1	SH3BP4	10.0
1	SH3GL3	61.75
1	SH3PXD2B	49.5
1	SH3TC2	141.5
1	SHISA5	2301.75
1	SHROOM3	19.0
1	SIGLEC12	2.75
1	SIGLEC15	94.75
1	SIN3A	5263.25
1	SIRPD	4.5
1	SKP1	3029.25
1	SLC12A5	9.25
1	SLC13A4	215.0
1	SLC14A2	257.25
1	SLC16A3	222.5
1	SLC1A1	3.75
1	SLC25A12	466.25
1	SLC25A24	296.25
1	SLC25A3	4911.0
1	SLC26A5	14.5
1	SLC27A5	964.75
1	SLC2A13	147.25
1	SLC30A8	29.0
1	SLC35E3	2986.0
1	SLC35F3	4.5
1	SLC38A3	21.5
1	SLC46A3	416.75
1	SLC50A1	1374.25
1	SLC51A	267.25
1	SLC6A6	1917.75
1	SLC8A3	0.75
1	SLC9A2	8.25
1	SLC9A9	305.0
1	SLIT1	47.5
1	SLMAP	3267.25
1	SLTM	4192.75
1	SMARCE1	3270.0
1	SMC6	546.75
1	SMIM18	12.5
1	SMPDL3A	2.5
1	SNAPC5	364.0
1	SNF8	1468.5
1	SNRNP35	837.0
1	SNRPB	665.25
1	SNRPD2	1827.5
1	SNX12	1063.25
1	SNX13	635.0
1	SNX30	345.75
1	SNX33	155.25
1	SOX15	10.5
1	SOX5	14.75
1	SPAST	2386.0
1	SPHK2	561.0
1	SPIDR	1144.0
1	SPOPL	1820.5
1	SPP1	0.5
1	SPX	31.5
1	SRRM2	31642.5
1	SRSF12	201.75
1	SSR2	2817.5
1	ST18	105.0
1	ST3GAL3	2023.5
1	ST6GAL2	89.25
1	STAB2	170.25
1	STARD10	152.0
1	STARD13	0.5
1	STARD3	512.25
1	STX11	409.75
1	STX18	893.0
1	STXBP5	1600.25
1	STXBP5L	12.5
1	STYXL1	54.25
1	SULT1A1	524.25
1	SYDE1	5.5
1	TADA2B	1205.5
1	TAF1	2600.0
1	TAF5	106.5
1	TAF6L	215.75
1	TAS2R42	2.75
1	TAS2R5	18.75
1	TAS2R60	9.0
1	TBC1D17	1327.0
1	TBC1D30	210.25
1	TBL1X	1032.25
1	TBXAS1	166.75
1	TCERG1L	13.0
1	TCP10L	11.75
1	TCTN1	846.0
1	TDRD9	31.5
1	TECRL	23.5
1	TEX14	12.75
1	TGDS	539.25
1	TGFBR3	643.75
1	TGM2	185.25
1	THBS3	152.5
1	THEMIS2	1056.5
1	THOC1	606.75
1	THSD1	3.25
1	TIAM2	380.0
1	TIMM23	1291.25
1	TIMM50	1786.5
1	TIMP1	404.75
1	TINF2	1397.0
1	TIPIN	1610.25
1	TLDC2	1155.25
1	TLE1	25.75
1	TMC6	4170.25
1	TMCC1	1116.5
1	TMEM115	215.0
1	TMEM160	78.75
1	TMEM161B	1104.0
1	TMEM167B	871.25
1	TMEM182	438.25
1	TMEM192	1730.5
1	TMEM212	2210.0
1	TMEM219	191.25
1	TMEM262	75.0
1	TMEM30B	110.5
1	TMEM33	9978.0
1	TMPRSS2	0.5
1	TMPRSS4	76.5
1	TMX4	1389.5
1	TNFRSF10B	981.75
1	TNFRSF14	1389.75
1	TNFSF13B	52.25
1	TNNI3K	2.75
1	TNNT2	95.0
1	TNS1	15.0
1	TOMM20	3786.75
1	TOP1	2000.0
1	TOPORS	550.0
1	TPH1	334.75
1	TPK1	299.0
1	TPO	157.5
1	TRAFD1	1229.75
1	TRAK1	1179.0
1	TRAP1	1939.75
1	TRHR	3.5
1	TRIM2	224.75
1	TRIM28	3245.75
1	TRIM3	168.0
1	TRIM38	2108.25
1	TRIM54	10.5
1	TRIM68	266.75
1	TRIP11	933.0
1	TRIQK	206.25
1	TRMT11	856.75
1	TROAP	267.5
1	TRPC1	60.0
1	TRPC3	9.25
1	TRPS1	1075.5
1	TRPV2	566.0
1	TSPAN15	8.25
1	TSPAN3	911.75
1	TTC28	235.25
1	TTR	4.25
1	TXNDC16	74.25
1	TYSND1	311.75
1	TYW1B	179.5
1	UBA7	1570.0
1	UBE4B	1993.75
1	UBXN8	247.0
1	UCN	4.75
1	UFL1	773.75
1	UGDH	1025.25
1	UGT2A1	72.25
1	UGT2B7	0.75
1	ULK2	529.5
1	UNC45A	936.75
1	UNC45B	19.5
1	UNK	753.25
1	UPF2	1661.25
1	UQCRFS1	566.25
1	URI1	1355.25
1	USP13	601.75
1	USP8	3000.25
1	VAT1	423.25
1	VIPR1	182.25
1	VNN3	28.25
1	VPS25	492.25
1	VPS33A	1733.75
1	VPS53	5050.5
1	VSNL1	59.0
1	VTN	24.0
1	WAS	2002.75
1	WBP2	1728.75
1	WDR13	1108.5
1	WDR45B	605.75
1	WDR60	1264.5
1	WDR66	1122.5
1	WDR72	135.0
1	WFDC8	78.25
1	WIPI2	778.25
1	WNT7A	235.75
1	WRAP73	293.0
1	WT1	21.0
1	WWTR1	152.75
1	XCL1	268.25
1	XKR6	51.25
1	XPNPEP2	7.75
1	XPOT	9866.5
1	XRN2	1835.0
1	YEATS4	306.75
1	YIF1A	345.0
1	YME1L1	4868.75
1	YPEL4	8.25
1	YTHDF1	1361.75
1	ZBED8	3.25
1	ZBTB3	461.0
1	ZBTB34	230.25
1	ZBTB37	2528.5
1	ZC3H14	2028.25
1	ZC3HC1	241.5
1	ZCCHC9	1376.25
1	ZDHHC22	12.75
1	ZDHHC23	180.0
1	ZER1	493.5
1	ZFAND2A	283.0
1	ZFAND3	504.5
1	ZFAND5	1122.75
1	ZFP1	193.0
1	ZFP62	419.5
1	ZFYVE19	242.25
1	ZMIZ2	2885.75
1	ZMYM2	1686.5
1	ZMYM3	733.5
1	ZMYND15	4.25
1	ZNF100	757.25
1	ZNF12	551.75
1	ZNF133	132.75
1	ZNF182	189.0
1	ZNF215	445.25
1	ZNF234	530.5
1	ZNF264	3954.5
1	ZNF273	1263.75
1	ZNF275	933.75
1	ZNF280D	787.75
1	ZNF284	227.5
1	ZNF300	56.0
1	ZNF317	1072.25
1	ZNF331	2506.25
1	ZNF354A	333.75
1	ZNF366	53.75
1	ZNF398	1559.0
1	ZNF462	169.25
1	ZNF549	409.5
1	ZNF550	560.25
1	ZNF551	868.75
1	ZNF562	2974.0
