CD4_ABC_H3K27ac_count_bins	Gene_Name	Mean_Gene_Expression
0	BEX1	31.0
0	BEX2	548.0
0	BEX3	36.75
0	BEX5	17.75
0	BFAR	2018.25
0	BFSP1	12.0
0	BGLAP	30.25
0	BGN	26.25
0	BHLHB9	126.25
0	BHLHE40	2988.5
0	BICD1	564.0
0	BICD2	654.0
0	BID	623.75
0	BIK	25.0
0	BIN2	2809.5
0	BIN3	179.0
0	BIRC6	7656.25
0	BIRC6-AS2	23.75
0	BIVM-ERCC5	17.5
0	BLCAP	1257.25
0	BLK	29.0
0	BLM	491.5
0	BLNK	5.75
0	BLOC1S2	647.25
0	BLOC1S6	31199.0
0	BLVRA	132.75
0	BMF	227.5
0	BMP1	96.5
0	BMP2K	684.75
0	BMP3	151.25
0	BMP4	4.5
0	BMP6	11.5
0	BMP8A	8.25
0	BMP8B	135.5
0	BMPER	54.0
0	BMPR1B	8.25
0	BMX	0.75
0	BNC2	31.75
0	BNIP1	63.25
0	BNIP3	799.25
0	BNIP3L	461.5
0	BOD1	324.75
0	BOD1L1	5993.25
0	BORCS7	1975.25
0	BRCA1	876.75
0	BRD1	1632.0
0	BRD3	961.0
0	BRD4	10015.5
0	BRD7	4755.25
0	BRDT	97.5
0	BRF1	622.5
0	BRF2	133.25
0	BRI3BP	1260.0
0	BRK1	931.0
0	BRMS1	470.5
0	BRMS1L	62.0
0	BRPF1	1060.25
0	BRSK2	36.0
0	BRWD1	2771.0
0	BRWD3	1439.25
0	BSCL2	96.0
0	BST1	301.25
0	BST2	165.5
0	BTBD1	876.25
0	BTBD18	192.75
0	BTBD3	172.75
0	BTBD7	1515.5
0	BTBD8	119.5
0	BTBD9	1456.0
0	BTF3	1231.75
0	BTG3	590.75
0	BTLA	346.75
0	BTNL10	5.75
0	BTNL8	5.75
0	BTNL9	219.0
0	BUB1	525.5
0	BUD31	657.5
0	BZW2	1276.0
0	C10orf105	10.0
0	C10orf53	80.75
0	C10orf67	40.75
0	C10orf71	1.75
0	C10orf82	835.75
0	C10orf90	0.5
0	C11orf1	329.0
0	C11orf16	2.75
0	C11orf24	732.0
0	C11orf42	15.75
0	C11orf49	376.25
0	C11orf58	2277.25
0	C11orf80	188.5
0	C11orf88	113.0
0	C11orf94	9.75
0	C12orf10	767.5
0	C12orf29	569.25
0	C12orf40	36.0
0	C12orf42	66.5
0	C12orf43	1195.75
0	C12orf49	2711.0
0	C12orf54	2.25
0	C12orf56	2.75
0	C12orf65	2381.75
0	C12orf66	514.25
0	C12orf75	166.25
0	C12orf76	698.25
0	C14orf119	410.0
0	C14orf132	97.75
0	C15orf39	1697.5
0	C15orf40	2090.5
0	C15orf41	533.25
0	C16orf46	1.75
0	C16orf58	698.75
0	C16orf70	1113.75
0	C16orf74	54.75
0	C16orf96	9.0
0	C17orf49	340.75
0	C17orf50	4.5
0	C17orf58	143.25
0	C17orf78	5.5
0	C17orf97	31.25
0	C17orf98	6.0
0	C17orf99	238.0
0	C18orf21	734.25
0	C18orf25	2158.25
0	C19orf18	3.25
0	C19orf25	298.0
0	C19orf54	399.25
0	C19orf67	3.75
0	C19orf71	26.0
0	C1D	364.75
0	C1GALT1	704.0
0	C1orf105	1.75
0	C1orf109	472.0
0	C1orf116	3.25
0	C1orf141	17.0
0	C1orf159	185.25
0	C1orf162	322.25
0	C1orf167	127.0
0	C1orf174	1514.5
0	C1orf198	127.5
0	C1orf21	66.75
0	C1orf210	166.5
0	C1orf216	276.75
0	C1orf35	557.75
0	C1orf52	521.0
0	C1orf74	116.75
0	C1orf87	1.25
0	C1QTNF1	6.25
0	C1QTNF12	5.75
0	C1QTNF2	45.0
0	C1QTNF3	114.25
0	C1QTNF7	18.0
0	C1QTNF9	30.5
0	C1QTNF9B	1.25
0	C1R	124.25
0	C1RL	452.25
0	C1S	67.25
0	C20orf144	144.5
0	C20orf194	250.0
0	C20orf202	8.5
0	C20orf203	58.5
0	C21orf62	4.5
0	C21orf91	862.25
0	C22orf46	61.0
0	C2CD4A	209.0
0	C2CD4D	29.25
0	C2CD5	1483.25
0	C2orf42	357.5
0	C2orf66	15.75
0	C2orf69	337.5
0	C2orf83	430.0
0	C2orf88	65.0
0	C3	928.25
