GeneName	CD4_mean
AC098850.3	138.75
AC098934.1	5.75
AC098934.2	97.5
AC098934.3	9.25
AC098935.1	42.5
AC098935.2	27.25
AC099335.1	2.75
AC099336.1	5.0
AC099336.2	1.5
AC099340.1	11.0
AC099489.1	121.5
AC099513.1	3.5
AC099535.1	0.25
AC099548.1	3.25
AC099548.2	181.75
AC099560.2	1.5
AC099654.4	2.75
AC099677.1	10.75
AC099782.2	1.0
AC099789.1	7.75
AC099842.1	0.0
AC099850.3	0.0
AC100757.3	230.25
AC100784.1	2.25
AC100793.1	2.0
AC100821.1	88.5
AC100823.2	2.0
AC100827.2	3.5
AC100827.5	3.75
AC100868.1	22.25
AC103563.1	0.25
AC103591.2	0.0
AC103592.1	5.75
AC103705.1	33.5
AC103706.2	4.0
AC103706.3	5.0
AC103778.1	2.75
AC103792.1	0.5
AC103810.1	1022.75
AC103810.6	4.0
AC103810.7	0.25
AC103810.9	33.5
AC103987.2	9.0
AC103988.1	23.5
AC104046.1	20.5
AC104066.3	47.0
AC104109.3	0.0
AC104115.1	5.25
AC104115.2	4.75
AC104117.1	5.75
AC104117.2	0.0
